Super Micro Computer Price to Free Cash Flow Ratio Historical Data,Super Micro Computer Price to Free Cash Flow Ratio Historical Data,Super Micro Computer Price to Free Cash Flow Ratio Historical Data,Super Micro Computer Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,39.1,,0.0
2024-12-31,30.48,$-3.59,0.0
2024-09-30,41.64,$-4.23,0.0
2024-06-30,81.94,$-4.33,0.0
2024-03-31,101.0,$-3.21,0.0
2023-12-31,28.43,$-0.28,0.0
2023-09-30,27.42,$1.04,26.42
2023-06-30,24.93,$1.12,22.26
2023-03-31,10.66,$1.08,9.91
2022-12-31,8.21,$0.30,27.69
2022-09-30,5.51,$-0.08,0.0
2022-06-30,4.04,$-0.91,0.0
2022-03-31,3.81,$-0.74,0.0
2021-12-31,4.4,$-0.57,0.0
2021-09-30,3.66,$-0.35,0.0
2021-06-30,3.52,$0.12,28.98
2021-03-31,3.91,$-0.17,0.0
2020-12-31,3.17,$0.03,96.82
2020-09-30,2.64,$0.07,35.97
2020-06-30,2.84,$-0.14,0.0
2020-03-31,2.13,$0.20,10.8
2019-12-31,1.57,$0.44,3.56
2019-09-30,1.57,$0.38,4.13
2019-06-30,1.57,$0.46,3.41
2019-03-31,1.57,$0.43,3.65
2018-12-31,1.57,$0.25,6.33
2018-09-30,1.57,$0.17,9.37
2018-06-30,2.37,$0.11,20.73
2018-03-31,1.7,$-0.02,0.0
2017-12-31,2.09,$-0.09,0.0
2017-09-30,2.21,$-0.19,0.0
2017-06-30,2.47,$-0.24,0.0
2017-03-31,2.54,$-0.21,0.0
2016-12-31,2.81,$-0.14,0.0
2016-09-30,2.34,$0.07,32.37
2016-06-30,2.49,$0.14,17.44
2016-03-31,3.41,$-0.00,0.0
2015-12-31,2.45,$0.02,143.33
2015-09-30,2.73,$-0.18,0.0
2015-06-30,2.96,$-0.16,0.0
2015-03-31,3.32,$-0.05,0.0
2014-12-31,3.49,$-0.08,0.0
2014-09-30,2.94,$-0.06,0.0
2014-06-30,2.53,$-0.07,0.0
2014-03-31,1.74,$-0.05,0.0
2013-12-31,1.72,$-0.02,0.0
2013-09-30,1.35,$0.12,11.44
2013-06-30,1.06,$0.02,54.56
2013-03-31,1.13,$0.01,0.0
2012-12-31,1.02,$-0.06,0.0
2012-09-30,1.2,$-0.11,0.0
2012-06-30,1.59,$-0.01,0.0
2012-03-31,1.75,$0.01,169.51
2011-12-31,1.57,$-0.02,0.0
2011-09-30,1.25,$-0.02,0.0
2011-06-30,1.61,$-0.04,0.0
2011-03-31,1.6,$-0.08,0.0
2010-12-31,1.15,$-0.05,0.0
2010-09-30,1.04,$-0.06,0.0
2010-06-30,1.35,$-0.06,0.0
2010-03-31,1.73,$-0.01,0.0
2009-12-31,1.11,$0.07,15.44
