Mercer Price to Free Cash Flow Ratio Historical Data,Mercer Price to Free Cash Flow Ratio Historical Data,Mercer Price to Free Cash Flow Ratio Historical Data,Mercer Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.62,,17.17
2024-12-31,6.5,$0.39,16.86
2024-09-30,6.77,$-1.11,0.0
2024-06-30,8.44,$-1.51,0.0
2024-03-31,9.74,$-2.50,0.0
2023-12-31,9.21,$-3.04,0.0
2023-09-30,8.27,$-2.51,0.0
2023-06-30,7.71,$-1.00,0.0
2023-03-31,9.25,$0.94,9.81
2022-12-31,10.93,$2.73,4.0
2022-09-30,11.48,$2.67,4.29
2022-06-30,12.19,$2.13,5.73
2022-03-31,12.86,$0.80,16.03
2021-12-31,11.0,$0.34,32.01
2021-09-30,10.57,$0.38,27.68
2021-06-30,11.57,$0.57,20.46
2021-03-31,12.99,$0.93,14.0
2020-12-31,9.21,$-0.56,0.0
2020-09-30,5.89,$-0.45,0.0
2020-06-30,7.2,$-0.37,0.0
2020-03-31,6.34,$-0.05,0.0
2019-12-31,10.56,$1.71,6.16
2019-09-30,10.64,$2.35,4.53
2019-06-30,12.98,$1.80,7.2
2019-03-31,11.24,$1.70,6.6
2018-12-31,8.6,$2.28,3.78
2018-09-30,13.7,$1.89,7.24
2018-06-30,14.16,$2.43,5.83
2018-03-31,10.0,$1.51,6.62
2017-12-31,11.38,$1.28,8.85
2017-09-30,9.34,$1.18,7.91
2017-06-30,8.98,$1.31,6.86
2017-03-31,9.05,$1.33,6.8
2016-12-31,8.15,$1.51,5.4
2016-09-30,6.41,$1.25,5.15
2016-06-30,5.97,$1.79,3.34
2016-03-31,6.97,$1.79,3.88
2015-12-31,6.58,$1.74,3.78
2015-09-30,7.2,$2.03,3.54
2015-06-30,9.71,$1.49,6.5
2015-03-31,10.91,$1.63,6.68
2014-12-31,8.73,$1.76,4.96
2014-09-30,6.92,$0.94,7.36
2014-06-30,7.46,$0.47,15.91
2014-03-31,5.33,$0.52,10.17
2013-12-31,7.08,$-0.17,0.0
2013-09-30,5.03,$0.37,13.48
2013-06-30,4.63,$0.42,10.93
2013-03-31,4.91,$0.25,19.56
2012-12-31,5.08,0,0.0
2012-09-30,5.3,0,0.0
2012-06-30,4.05,0,0.0
2012-03-31,5.67,0,0.0
2011-12-31,4.33,0,0.0
2011-09-30,4.83,0,0.0
2011-06-30,7.16,0,0.0
2011-03-31,9.62,0,0.0
2010-12-31,5.5,0,0.0
2010-09-30,3.47,0,0.0
2010-06-30,2.83,0,0.0
2010-03-31,3.74,0,0.0
2009-12-31,2.2,0,0.0
