Peraso Price to Free Cash Flow Ratio Historical Data,Peraso Price to Free Cash Flow Ratio Historical Data,Peraso Price to Free Cash Flow Ratio Historical Data,Peraso Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.81,,0.0
2024-09-30,1.39,$-0.81,0.0
2024-06-30,1.4,$-2.78,0.0
2024-03-31,1.62,$-6.11,0.0
2023-12-31,11.18,$-7.41,0.0
2023-09-30,7.5,$-13.88,0.0
2023-06-30,19.8,$-17.79,0.0
2023-03-31,21.82,$-24.68,0.0
2022-12-31,29.2,$-33.81,0.0
2022-09-30,68.0,$-56.20,0.0
2022-06-30,76.8,$-60.94,0.0
2022-03-31,88.8,$-84.52,0.0
2021-12-31,168.0,$-82.38,0.0
2021-09-30,198.8,$-132.62,0.0
2021-06-30,250.8,$-125.91,0.0
2021-03-31,154.4,$-94.07,0.0
2020-12-31,97.6,$-96.89,0.0
2020-09-30,57.2,$-27.01,0.0
2020-06-30,73.2,$-34.58,0.0
2020-03-31,36.95,$-12.74,0.0
2019-12-31,70.6,$-13.93,0.0
2019-09-30,101.2,$-26.04,0.0
2019-06-30,140.0,$42.25,3.31
2019-03-31,140.0,$31.55,4.44
2018-12-31,133.04,$14.81,8.99
2018-09-30,552.0,$82.40,6.7
2018-06-30,1400.0,$-39.59,0.0
2018-03-31,952.0,$-384.98,0.0
2017-12-31,888.0,$-857.44,0.0
2017-09-30,765.44,"$-1,267.15",0.0
2017-06-30,1368.0,"$-1,670.65",0.0
2017-03-31,1672.0,"$-1,852.04",0.0
2016-12-31,1840.8,"$-2,252.87",0.0
2016-09-30,6000.0,"$-2,683.98",0.0
2016-06-30,3240.0,"$-3,461.43",0.0
2016-03-31,5200.0,"$-3,523.98",0.0
2015-12-31,8720.0,"$-3,671.12",0.0
2015-09-30,11920.0,"$-4,160.95",0.0
2015-06-30,15200.0,"$-4,033.68",0.0
2015-03-31,16800.0,"$-4,352.40",0.0
2014-12-31,14960.0,"$-4,346.20",0.0
2014-09-30,19360.0,"$-4,124.08",0.0
2014-06-30,25120.0,"$-3,873.79",0.0
2014-03-31,36320.0,"$-4,087.33",0.0
2013-12-31,44160.0,"$-3,919.73",0.0
2013-09-30,29760.0,"$-3,890.90",0.0
2013-06-30,32160.0,"$-4,068.86",0.0
2013-03-31,37680.0,"$-3,978.23",0.0
2012-12-31,27840.0,"$-3,944.66",0.0
2012-09-30,32320.0,"$3,588.55",9.01
2012-06-30,25920.0,"$3,468.43",7.47
2012-03-31,31760.0,"$3,772.41",8.42
2011-12-31,33600.0,"$3,722.12",9.03
2011-09-30,29280.0,"$-4,069.56",0.0
2011-06-30,46000.0,"$-4,045.57",0.0
2011-03-31,48080.0,"$-4,034.99",0.0
2010-12-31,45520.0,"$-4,259.81",0.0
2010-09-30,39040.0,"$-3,532.12",0.0
2010-06-30,35360.0,"$-3,089.07",0.0
2010-03-31,32080.0,"$-3,172.19",0.0
2009-12-31,31520.0,"$-3,288.82",0.0
