CryoPort Price to Free Cash Flow Ratio Historical Data,CryoPort Price to Free Cash Flow Ratio Historical Data,CryoPort Price to Free Cash Flow Ratio Historical Data,CryoPort Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.77,,0.0
2024-12-31,7.78,$-0.68,0.0
2024-09-30,8.11,$-0.65,0.0
2024-06-30,6.91,$-0.80,0.0
2024-03-31,17.7,$-0.82,0.0
2023-12-31,15.49,$-0.81,0.0
2023-09-30,13.71,$-0.70,0.0
2023-06-30,17.25,$-0.57,0.0
2023-03-31,24.0,$-0.55,0.0
2022-12-31,17.35,$-0.49,0.0
2022-09-30,24.36,$-0.53,0.0
2022-06-30,30.98,$-0.44,0.0
2022-03-31,34.91,$-0.22,0.0
2021-12-31,59.17,$-0.34,0.0
2021-09-30,66.51,$-0.57,0.0
2021-06-30,63.1,$-0.76,0.0
2021-03-31,52.01,$-0.83,0.0
2020-12-31,43.88,$-0.62,0.0
2020-09-30,47.4,$-0.29,0.0
2020-06-30,30.25,$-0.15,0.0
2020-03-31,17.07,$-0.14,0.0
2019-12-31,16.46,$-0.20,0.0
2019-09-30,16.36,$-0.23,0.0
2019-06-30,18.32,$-0.23,0.0
2019-03-31,12.92,$-0.22,0.0
2018-12-31,11.03,$-0.22,0.0
2018-09-30,12.81,$-0.25,0.0
2018-06-30,15.78,$-0.25,0.0
2018-03-31,8.6,$-0.20,0.0
2017-12-31,8.59,$-0.23,0.0
2017-09-30,9.85,$-0.25,0.0
2017-06-30,4.92,$-0.31,0.0
2017-03-31,2.36,$-0.34,0.0
2016-12-31,3.24,$-0.48,0.0
2016-09-30,1.97,$-0.57,0.0
2016-06-30,2.08,$-0.97,0.0
