Enanta Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Enanta Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Enanta Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Enanta Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.44,,0.0
2024-12-31,5.75,$-4.55,0.0
2024-09-30,10.36,$-4.57,0.0
2024-06-30,12.97,$-4.77,0.0
2024-03-31,17.46,$-5.39,0.0
2023-12-31,9.41,$-4.71,0.0
2023-09-30,11.17,$-5.35,0.0
2023-06-30,21.4,$-5.08,0.0
2023-03-31,40.44,$-4.88,0.0
2022-12-31,46.52,$-5.41,0.0
2022-09-30,51.87,$-4.22,0.0
2022-06-30,47.27,$-4.42,0.0
2022-03-31,71.18,$-4.48,0.0
2021-12-31,74.78,$-7.78,0.0
2021-09-30,56.81,$-3.51,0.0
2021-06-30,44.01,$-3.25,0.0
2021-03-31,49.32,$-2.01,0.0
2020-12-31,42.1,$-0.58,0.0
2020-09-30,45.78,$0.28,161.77
2020-06-30,50.21,$1.48,33.88
2020-03-31,51.43,$1.74,29.59
2019-12-31,61.78,$6.17,10.01
2019-09-30,60.08,$3.15,19.09
2019-06-30,84.38,$4.08,20.69
2019-03-31,95.52,$4.21,22.69
2018-12-31,70.83,$2.51,28.22
2018-09-30,85.46,$1.27,67.25
2018-06-30,115.9,$2.88,40.29
2018-03-31,80.91,$2.44,33.13
2017-12-31,58.68,$2.67,22.02
2017-09-30,46.8,$2.58,18.11
2017-06-30,35.98,$-0.52,0.0
2017-03-31,30.8,$-0.38,0.0
2016-12-31,33.5,$0.29,115.96
2016-09-30,26.61,$1.62,16.46
2016-06-30,22.05,$1.56,14.12
2016-03-31,29.37,$0.95,30.84
2015-12-31,33.02,$5.60,5.9
2015-09-30,36.14,$3.85,9.38
2015-06-30,44.99,$3.81,11.8
2015-03-31,30.62,$6.41,4.78
2014-12-31,50.85,$1.05,48.23
2014-09-30,39.57,$1.03,38.41
2014-06-30,43.07,$1.13,38.28
2014-03-31,39.99,$-8.54,0.0
2013-12-31,27.28,$0.23,117.18
