Global Indemnity Price to Free Cash Flow Ratio Historical Data,Global Indemnity Price to Free Cash Flow Ratio Historical Data,Global Indemnity Price to Free Cash Flow Ratio Historical Data,Global Indemnity Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,36.65,,12.93
2024-12-31,36.0,$2.83,12.71
2024-09-30,33.23,$4.26,7.79
2024-06-30,31.09,$4.80,6.47
2024-03-31,30.53,$4.41,6.92
2023-12-31,32.24,$3.14,10.27
2023-09-30,34.35,$2.89,11.87
2023-06-30,33.59,$2.82,11.92
2023-03-31,28.15,$4.13,6.82
2022-12-31,23.31,$3.05,7.63
2022-09-30,22.07,$4.44,4.97
2022-06-30,25.87,$4.23,6.12
2022-03-31,25.84,$4.72,5.47
2021-12-31,24.65,$6.19,3.98
2021-09-30,26.48,$4.49,5.9
2021-06-30,25.95,$1.88,13.82
2021-03-31,28.28,$1.60,17.63
2020-12-31,27.05,$2.29,11.83
2020-09-30,19.49,$1.43,13.67
2020-06-30,22.19,$6.12,3.63
2020-03-31,23.38,$5.34,4.38
2019-12-31,26.88,$2.26,11.9
2019-09-30,22.46,$2.99,7.5
2019-06-30,27.57,$-1.35,0.0
2019-03-31,26.83,$-1.52,0.0
2018-12-31,31.75,$2.99,10.63
2018-09-30,32.8,$2.75,11.93
2018-06-30,33.69,$3.21,10.48
2018-03-31,29.66,$2.56,11.57
2017-12-31,35.85,$-1.09,0.0
2017-09-30,36.17,$-1.21,0.0
2017-06-30,33.07,$-1.52,0.0
2017-03-31,32.83,$-1.28,0.0
2016-12-31,32.6,$-1.09,0.0
2016-09-30,25.34,$-0.33,0.0
2016-06-30,23.48,$-0.36,0.0
2016-03-31,26.56,$-0.66,0.0
2015-12-31,24.76,$0.15,161.8
2015-09-30,22.32,$-0.24,0.0
2015-06-30,23.95,$0.81,29.7
2015-03-31,23.67,$0.17,136.75
2014-12-31,24.2,$-0.47,0.0
2014-09-30,21.52,$-0.44,0.0
2014-06-30,22.17,$-0.46,0.0
2014-03-31,22.47,$-0.20,0.0
2013-12-31,21.58,$-0.20,0.0
2013-09-30,21.72,$-0.33,0.0
2013-06-30,20.09,$-0.75,0.0
2013-03-31,19.79,$-1.08,0.0
2012-12-31,18.88,$-1.31,0.0
2012-09-30,18.66,$-1.32,0.0
2012-06-30,17.27,$-1.30,0.0
2012-03-31,16.63,$-1.14,0.0
2011-12-31,16.92,$-0.26,0.0
2011-09-30,14.57,$0.54,27.09
2011-06-30,18.92,$0.67,28.05
2011-03-31,18.75,$0.56,33.26
2010-12-31,17.44,$-0.03,0.0
2010-09-30,13.69,$-1.91,0.0
2010-06-30,12.56,$-1.22,0.0
2010-03-31,16.33,$-1.67,0.0
2009-12-31,13.51,$-2.03,0.0
