Prudential Financial Price to Free Cash Flow Ratio Historical Data,Prudential Financial Price to Free Cash Flow Ratio Historical Data,Prudential Financial Price to Free Cash Flow Ratio Historical Data,Prudential Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,110.78,,4.68
2024-12-31,118.53,$23.66,5.01
2024-09-30,119.85,$20.17,5.94
2024-06-30,114.66,$24.92,4.6
2024-03-31,113.61,$28.69,3.96
2023-12-31,99.16,$17.86,5.55
2023-09-30,89.54,$13.19,6.79
2023-06-30,82.12,$16.85,4.87
2023-03-31,75.87,$17.50,4.33
2022-12-31,90.09,$13.85,6.5
2022-09-30,76.84,$23.98,3.2
2022-06-30,84.68,$26.47,3.2
2022-03-31,103.36,$33.42,3.09
2021-12-31,93.7,$25.15,3.73
2021-09-30,90.11,$5.45,16.52
2021-06-30,86.81,$-10.32,0.0
2021-03-31,76.35,$-24.32,0.0
2020-12-31,64.52,$21.14,3.05
2020-09-30,51.75,$41.91,1.23
2020-06-30,48.84,$61.81,0.79
2020-03-31,41.01,$77.57,0.53
2019-12-31,72.89,$47.76,1.53
2019-09-30,69.2,$64.94,1.07
2019-06-30,76.77,$55.35,1.39
2019-03-31,69.13,$52.88,1.31
2018-12-31,60.71,$50.83,1.19
2018-09-30,74.68,$34.85,2.14
2018-06-30,68.3,$35.69,1.91
2018-03-31,74.96,$32.46,2.31
2017-12-31,82.55,$30.87,2.67
2017-09-30,75.81,$15.08,5.03
2017-06-30,76.55,$13.98,5.47
2017-03-31,74.97,$23.10,3.25
2016-12-31,72.64,$33.31,2.18
2016-09-30,56.6,$42.98,1.32
2016-06-30,49.0,$52.85,0.93
2016-03-31,49.16,$32.30,1.52
2015-12-31,54.83,$30.28,1.81
2015-09-30,50.92,$42.76,1.19
2015-06-30,58.06,$37.15,1.56
2015-03-31,52.92,$49.20,1.08
2014-12-31,59.18,$41.47,1.43
2014-09-30,57.14,$31.07,1.84
2014-06-30,57.34,$24.95,2.3
2014-03-31,54.32,$22.04,2.46
2013-12-31,58.81,$18.24,3.22
2013-09-30,49.44,$30.99,1.6
2013-06-30,46.06,$37.06,1.24
2013-03-31,36.99,$43.44,0.85
2012-12-31,33.2,$44.67,0.74
2012-09-30,32.86,$28.51,1.15
2012-06-30,29.19,$27.62,1.06
2012-03-31,38.21,$22.44,1.7
2011-12-31,30.21,$25.33,1.19
2011-09-30,27.43,$26.15,1.05
2011-06-30,37.22,$18.83,1.98
2011-03-31,36.04,$18.39,1.96
2010-12-31,34.36,$13.76,2.5
2010-09-30,31.05,$12.64,2.46
2010-06-30,30.75,$9.76,3.15
2010-03-31,34.67,$6.93,5.0
2009-12-31,28.51,$13.03,2.19
