West Bancorporation Price to Free Cash Flow Ratio Historical Data,West Bancorporation Price to Free Cash Flow Ratio Historical Data,West Bancorporation Price to Free Cash Flow Ratio Historical Data,West Bancorporation Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,20.45,,25.27
2024-12-31,21.65,$0.81,26.75
2024-09-30,18.82,$0.06,334.82
2024-06-30,17.47,$-0.47,0.0
2024-03-31,17.16,$-0.64,0.0
2023-12-31,20.11,$-0.67,0.0
2023-09-30,15.25,$-0.32,0.0
2023-06-30,16.99,$0.49,34.54
2023-03-31,16.59,$1.48,11.19
2022-12-31,22.94,$2.27,10.11
2022-09-30,18.48,$2.98,6.2
2022-06-30,21.4,$2.91,7.36
2022-03-31,23.68,$2.59,9.13
2021-12-31,26.81,$2.93,9.16
2021-09-30,25.73,$2.72,9.46
2021-06-30,23.59,$2.53,9.31
2021-03-31,20.3,$2.64,7.68
2020-12-31,16.1,$2.42,6.65
2020-09-30,13.07,$2.41,5.43
2020-06-30,14.25,$2.59,5.5
2020-03-31,13.15,$2.40,5.48
2019-12-31,20.44,$2.22,9.22
2019-09-30,17.18,$2.12,8.11
2019-06-30,16.6,$2.10,7.92
2019-03-31,16.02,$1.96,8.18
2018-12-31,14.65,$2.11,6.96
2018-09-30,17.87,$2.08,8.6
2018-06-30,18.97,$1.90,10.0
2018-03-31,19.15,$1.88,10.17
2017-12-31,18.68,$1.73,10.78
2017-09-30,17.99,$1.63,11.06
2017-06-30,17.29,$1.52,11.36
2017-03-31,16.65,$1.44,11.57
2016-12-31,17.79,$1.08,16.44
2016-09-30,13.99,$1.25,11.18
2016-06-30,13.16,$1.28,10.3
2016-03-31,12.78,$1.47,8.71
2015-12-31,13.72,$1.78,7.69
2015-09-30,12.92,$1.68,7.7
2015-06-30,13.56,$1.73,7.83
2015-03-31,13.48,$1.56,8.63
2014-12-31,11.44,$1.50,7.65
2014-09-30,9.42,$1.27,7.39
2014-06-30,10.07,$1.52,6.62
2014-03-31,9.96,$1.32,7.52
2013-12-31,10.29,$1.27,8.08
2013-09-30,8.91,$1.66,5.38
2013-06-30,7.52,$1.23,6.1
2013-03-31,7.04,$1.22,5.77
2012-12-31,6.78,$1.33,5.08
2012-09-30,7.5,$1.06,7.06
2012-06-30,5.86,$1.02,5.75
2012-03-31,6.11,$1.24,4.94
2011-12-31,5.81,$1.44,4.03
2011-09-30,5.11,$1.63,3.14
2011-06-30,5.28,$1.65,3.2
2011-03-31,4.75,$1.76,2.69
2010-12-31,4.64,$1.42,3.26
2010-09-30,3.72,$1.04,3.6
2010-06-30,4.02,$1.51,2.67
2010-03-31,3.89,$0.86,4.51
2009-12-31,2.91,$0.93,3.12
