William Penn Bancorporation Price to Free Cash Flow Ratio Historical Data,William Penn Bancorporation Price to Free Cash Flow Ratio Historical Data,William Penn Bancorporation Price to Free Cash Flow Ratio Historical Data,William Penn Bancorporation Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.82,,82.09
2024-12-31,12.0,$0.13,91.05
2024-09-30,12.25,$0.03,411.07
2024-06-30,11.4,$0.07,164.5
2024-03-31,12.35,$0.17,73.12
2023-12-31,12.21,$0.27,45.9
2023-09-30,12.48,$0.39,31.98
2023-06-30,10.15,$0.55,18.45
2023-03-31,11.33,$0.49,22.92
2022-12-31,12.12,$0.50,24.1
2022-09-30,11.37,$0.42,26.77
2022-06-30,11.67,$0.29,40.41
2022-03-31,12.69,$0.31,40.43
2021-12-31,11.99,$0.40,30.04
2021-09-30,12.12,$0.32,38.26
2021-06-30,11.53,$0.20,56.63
2021-03-31,11.11,$0.09,117.23
