Janover Price to Free Cash Flow Ratio Historical Data,Janover Price to Free Cash Flow Ratio Historical Data,Janover Price to Free Cash Flow Ratio Historical Data,Janover Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.34,,0.0
2024-09-30,0.64,$-2.32,0.0
2024-06-30,0.77,$-2.84,0.0
