Nordic American Tankers Price to Free Cash Flow Ratio Historical Data,Nordic American Tankers Price to Free Cash Flow Ratio Historical Data,Nordic American Tankers Price to Free Cash Flow Ratio Historical Data,Nordic American Tankers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.64,,12.87
2024-09-30,3.67,$0.21,17.89
2024-06-30,3.85,$0.17,22.81
2024-03-31,3.68,$0.18,20.57
2023-12-31,3.83,$0.32,12.15
2023-09-30,3.7,$0.87,4.23
2023-06-30,3.19,$0.82,3.9
2023-03-31,3.31,$0.31,10.58
2022-12-31,2.46,$0.05,50.73
2022-09-30,2.12,$-0.21,0.0
2022-06-30,1.67,$-0.44,0.0
2022-03-31,1.66,$-0.14,0.0
2021-12-31,1.31,$-0.29,0.0
2021-09-30,1.97,$-0.48,0.0
2021-06-30,2.52,$0.23,10.75
2021-03-31,2.48,$0.52,4.78
2020-12-31,2.24,$0.66,3.4
2020-09-30,2.61,$0.87,3.01
2020-03-31,3.14,$0.47,6.72
2019-12-31,3.33,$0.35,9.44
2019-09-30,1.46,$0.50,2.89
2019-06-30,1.57,$0.70,2.24
2019-03-31,1.34,$0.70,1.9
2018-12-31,1.3,$0.48,2.69
2018-09-30,1.31,$0.38,3.49
2018-06-30,1.67,$0.09,19.22
2018-03-31,1.2,$0.01,98.53
2017-06-30,3.78,$-0.32,0.0
2017-03-31,4.74,$0.50,9.39
2016-12-31,4.76,$-0.11,0.0
2016-09-30,5.57,$0.01,415.44
2016-06-30,7.49,$0.18,41.66
2016-03-31,7.39,$-0.10,0.0
2015-12-31,7.88,$0.57,13.72
2015-09-30,7.52,$0.84,8.95
2015-06-30,6.86,$0.53,12.98
2015-03-31,5.56,$-0.00,0.0
2014-12-31,4.61,$-0.00,0.0
2014-09-30,3.57,$-0.48,0.0
2014-06-30,4.15,$0.09,44.17
2014-03-31,4.18,0,0.0
2013-12-31,4.07,0,0.0
2013-09-30,3.33,0,0.0
2013-06-30,3.01,0,0.0
2013-03-31,4.51,0,0.0
2012-12-31,3.36,0,0.0
2012-09-30,3.75,0,0.0
2012-06-30,4.93,0,0.0
2012-03-31,5.64,0,0.0
2011-12-31,4.17,0,0.0
2011-09-30,4.8,0,0.0
2011-06-30,7.61,0,0.0
2011-03-31,8.21,0,0.0
2010-12-31,8.51,0,0.0
2010-09-30,8.67,0,0.0
2010-06-30,8.92,0,0.0
2010-03-31,9.42,0,0.0
2009-12-31,9.26,0,0.0
