Tian Ruixiang Holdings Price to Free Cash Flow Ratio Historical Data,Tian Ruixiang Holdings Price to Free Cash Flow Ratio Historical Data,Tian Ruixiang Holdings Price to Free Cash Flow Ratio Historical Data,Tian Ruixiang Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.38,,inf
2024-10-31,1.85,0.0,0.0
2023-10-31,0.88,0.0,0.0
2023-04-30,1.63,0.0,0.0
2022-10-31,0.58,0.0,0.0
