Global Payments Price to Free Cash Flow Ratio Historical Data,Global Payments Price to Free Cash Flow Ratio Historical Data,Global Payments Price to Free Cash Flow Ratio Historical Data,Global Payments Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,97.38,,8.68
2024-12-31,112.06,$11.21,9.99
2024-09-30,102.2,$11.27,9.07
2024-06-30,96.27,$6.14,15.69
2024-03-31,132.71,$5.47,24.27
2023-12-31,125.86,$6.08,20.71
2023-09-30,114.13,$6.20,18.41
2023-06-30,97.25,$5.96,16.33
2023-03-31,103.63,$5.89,17.58
2022-12-31,97.56,$5.91,16.51
2022-09-30,105.85,$5.95,17.8
2022-06-30,108.19,$7.93,13.65
2022-03-31,133.53,$7.74,17.25
2021-12-31,131.65,$7.79,16.9
2021-09-30,153.17,$7.94,19.3
2021-06-30,182.02,$6.75,26.97
2021-03-31,195.45,$6.87,28.45
2020-12-31,208.68,$6.25,33.39
2020-09-30,171.85,$3.02,56.96
2020-06-30,163.96,$7.22,22.71
2020-03-31,139.26,$5.44,25.61
2019-12-31,176.05,$5.44,32.36
2019-09-30,153.16,$8.89,17.22
2019-06-30,154.24,$3.80,40.59
2019-03-31,131.49,$5.21,25.26
2018-12-31,99.32,$5.61,17.72
2018-09-30,122.69,$3.87,31.72
2018-06-30,107.36,$3.49,30.73
2018-03-31,107.38,$2.25,47.63
2017-12-31,96.51,$2.37,40.78
2017-09-30,91.48,$4.73,19.35
2017-06-30,86.94,$3.45,25.17
2017-03-31,77.65,$4.64,16.72
2016-12-31,66.79,$2.52,26.54
2016-11-30,65.97,$0.72,92.12
2016-09-30,73.86,$0.30,244.48
2016-08-31,73.08,$0.74,99.03
2016-06-30,68.67,$7.55,9.09
2016-05-31,74.74,$5.72,13.06
2016-03-31,62.81,$10.92,5.75
2016-02-29,58.63,$7.35,7.97
2015-11-30,68.14,$3.21,21.26
2015-08-31,53.56,$5.81,9.22
2015-05-31,50.18,$1.43,35.1
2015-02-28,44.15,$1.84,24.01
2014-11-30,41.5,$1.43,29.03
2014-08-31,34.93,$2.25,15.56
2014-05-31,32.93,$2.55,12.92
2014-02-28,33.77,$3.47,9.74
2013-11-30,30.26,$2.55,11.88
2013-08-31,22.86,$-0.10,0.0
2013-05-31,23.0,$0.44,51.71
2013-02-28,23.11,$3.16,7.32
2012-11-30,21.04,$0.44,47.31
2012-08-31,19.95,$1.86,10.73
2012-05-31,20.34,$-2.21,0.0
2012-02-29,24.7,$-8.16,0.0
2011-11-30,21.16,$-2.21,0.0
2011-08-31,21.91,$-3.72,0.0
2011-05-31,24.83,$-0.70,0.0
2011-02-28,22.93,$1.66,13.82
2010-11-30,19.85,$-0.70,0.0
2010-08-31,17.96,$-0.37,0.0
2010-05-31,20.13,$4.65,4.33
2010-02-28,20.41,$4.85,4.21
2009-11-30,24.43,$4.65,5.25
