Wyndham Hotels & Resorts Price to Free Cash Flow Ratio Historical Data,Wyndham Hotels & Resorts Price to Free Cash Flow Ratio Historical Data,Wyndham Hotels & Resorts Price to Free Cash Flow Ratio Historical Data,Wyndham Hotels & Resorts Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,91.14,,30.29
2024-12-31,100.79,$3.01,33.5
2024-09-30,77.85,$3.00,25.98
2024-06-30,73.37,$2.91,25.26
2024-03-31,75.7,$3.85,19.67
2023-12-31,78.93,$3.99,19.77
2023-09-30,67.95,$3.06,22.23
2023-06-30,66.7,$3.38,19.75
2023-03-31,65.67,$3.59,18.3
2022-12-31,68.67,$3.96,17.32
2022-09-30,58.82,$4.48,13.12
2022-06-30,62.7,$4.84,12.95
2022-03-31,80.43,$4.85,16.57
2021-12-31,84.83,$4.14,20.48
2021-09-30,72.75,$3.23,22.52
2021-06-30,67.91,$2.72,24.98
2021-03-31,65.41,$0.89,73.78
2020-12-31,55.59,$0.36,152.72
2020-09-30,47.16,$1.15,40.95
2020-06-30,39.74,$1.56,25.49
2020-03-31,29.33,$0.64,45.51
2019-12-31,57.95,$0.52,111.96
2019-09-30,47.5,$0.85,55.64
2019-06-30,50.9,$-0.08,0.0
2019-03-31,45.41,$1.56,29.06
