NuCana Price to Free Cash Flow Ratio Historical Data,NuCana Price to Free Cash Flow Ratio Historical Data,NuCana Price to Free Cash Flow Ratio Historical Data,NuCana Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.81,,0.0
2024-12-31,1.19,$-0.33,0.0
2024-09-30,2.3,$-0.07,0.0
2024-06-30,2.55,$-4.59,0.0
2024-03-31,6.5,$-8.25,0.0
2023-12-31,7.4,$-14.11,0.0
2023-09-30,15.25,$-18.76,0.0
2023-06-30,19.75,$-12.76,0.0
2023-03-31,24.0,$-14.17,0.0
2022-12-31,16.5,$-13.72,0.0
2022-09-30,26.13,$-15.92,0.0
2022-06-30,18.13,$-19.44,0.0
2022-03-31,24.98,$-17.64,0.0
2021-12-31,59.5,$-17.50,0.0
2021-09-30,64.5,$-17.49,0.0
2021-06-30,69.25,$-20.04,0.0
2021-03-31,124.75,$-17.89,0.0
2020-12-31,112.25,$-18.63,0.0
2020-09-30,129.25,$-16.49,0.0
2020-06-30,135.25,$-19.23,0.0
2020-03-31,145.75,$-23.54,0.0
2019-12-31,152.5,$-23.58,0.0
2019-09-30,181.0,$-21.77,0.0
2019-06-30,259.5,$-18.07,0.0
2019-03-31,425.0,$-15.96,0.0
2018-12-31,362.5,$-12.98,0.0
2018-09-30,623.0,$-10.25,0.0
