Logility Supply Chain Solutions Price to Free Cash Flow Ratio Historical Data,Logility Supply Chain Solutions Price to Free Cash Flow Ratio Historical Data,Logility Supply Chain Solutions Price to Free Cash Flow Ratio Historical Data,Logility Supply Chain Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.24,,0.0
2025-01-31,14.12,$-0.19,0.0
2024-10-31,10.45,$0.05,197.48
2024-07-31,10.72,$0.25,43.4
2024-04-30,9.8,$0.50,19.54
2024-01-31,10.87,$0.56,19.51
2023-10-31,10.42,$0.51,20.63
2023-07-31,10.85,$0.16,67.57
2023-04-30,11.13,$-0.13,0.0
2023-01-31,14.08,$0.02,714.76
2022-10-31,15.75,$0.20,77.14
2022-07-31,16.34,$0.65,25.25
2022-04-30,15.53,$0.82,18.96
2022-01-31,20.77,$0.49,42.13
2021-10-31,26.04,$0.51,50.94
2021-07-31,19.7,$0.54,36.3
2021-04-30,18.43,$0.50,37.14
2021-01-31,17.02,$0.77,22.11
2020-10-31,12.92,$0.82,15.72
2020-07-31,14.41,$0.62,23.28
2020-04-30,14.32,$0.69,20.69
2020-01-31,12.88,$0.57,22.56
2019-10-31,13.89,$0.53,25.98
2019-07-31,11.41,$0.55,20.69
2019-04-30,11.0,$0.53,20.65
2019-01-31,9.31,$0.25,37.89
2018-10-31,9.59,$0.15,63.4
2018-07-31,12.39,$0.02,658.84
2018-04-30,10.48,$0.02,612.74
2018-01-31,10.19,$0.37,27.45
2017-10-31,10.0,$0.63,15.99
2017-07-31,7.73,$0.90,8.55
2017-04-30,8.65,$0.96,8.99
2017-01-31,8.18,$0.95,8.64
2016-10-31,8.05,$0.68,11.78
2016-07-31,8.43,$0.49,17.22
2016-04-30,6.91,$0.50,13.92
2016-01-31,7.27,$0.33,22.03
2015-10-31,7.57,$0.34,22.34
2015-07-31,6.75,$0.34,19.9
2015-04-30,7.04,$0.22,32.21
2015-01-31,5.94,$0.19,31.51
2014-10-31,6.85,$0.21,32.74
2014-07-31,6.53,$0.26,24.84
2014-04-30,6.69,$0.54,12.44
2014-01-31,6.92,$0.68,10.15
2013-10-31,5.95,$0.68,8.72
2013-07-31,6.16,$0.72,8.58
2013-04-30,5.65,$0.54,10.42
2013-01-31,5.84,$0.49,11.85
2012-10-31,5.29,$0.61,8.7
2012-07-31,5.15,$0.72,7.11
2012-04-30,5.24,$0.49,10.77
2012-01-31,5.61,$0.31,18.16
2011-10-31,4.84,$0.20,23.72
2011-07-31,5.23,$-0.01,0.0
2011-04-30,4.7,$0.01,0.0
2011-01-31,4.0,$0.01,324.8
2010-10-31,3.55,$-0.29,0.0
2010-07-31,2.9,$-0.30,0.0
2010-04-30,3.64,$-0.19,0.0
2010-01-31,3.07,$-0.07,0.0
2009-10-31,3.59,$0.11,34.04
