Cartesian Therapeutics Price to Free Cash Flow Ratio Historical Data,Cartesian Therapeutics Price to Free Cash Flow Ratio Historical Data,Cartesian Therapeutics Price to Free Cash Flow Ratio Historical Data,Cartesian Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.93,,0.0
2024-12-31,17.91,$-1.87,0.0
2024-09-30,16.12,$-5.67,0.0
2024-06-30,27.01,$-8.09,0.0
2024-03-31,19.5,$-11.25,0.0
2023-12-31,20.68,$-9.94,0.0
2023-09-30,31.8,$-8.11,0.0
2023-06-30,33.6,$-5.44,0.0
2023-03-31,41.7,$-5.60,0.0
2022-12-31,33.9,$-6.76,0.0
2022-09-30,49.2,$-12.47,0.0
2022-06-30,39.3,$-16.47,0.0
2022-03-31,36.9,$-15.75,0.0
2021-12-31,97.8,$-16.15,0.0
2021-09-30,124.8,$-9.47,0.0
2021-06-30,125.4,$12.85,9.76
2021-03-31,135.75,$10.59,12.82
2020-12-31,90.9,$10.13,8.97
2020-09-30,74.4,$2.88,25.8
2020-06-30,85.2,$-22.92,0.0
2020-03-31,72.3,$-21.86,0.0
2019-12-31,71.4,$-33.86,0.0
2019-09-30,52.5,$-42.54,0.0
2019-06-30,53.7,$-57.34,0.0
2019-03-31,71.1,$-77.88,0.0
2018-12-31,79.8,$-80.40,0.0
2018-09-30,466.5,$-86.00,0.0
2018-06-30,397.5,$-80.02,0.0
2018-03-31,305.7,$-70.85,0.0
2017-12-31,294.3,$-77.56,0.0
2017-09-30,547.5,$-76.52,0.0
2017-06-30,595.8,$47.23,12.61
2017-03-31,429.6,$-83.20,0.0
