Northeast Community Bancorp Price to Free Cash Flow Ratio Historical Data,Northeast Community Bancorp Price to Free Cash Flow Ratio Historical Data,Northeast Community Bancorp Price to Free Cash Flow Ratio Historical Data,Northeast Community Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.41,,6.49
2024-12-31,24.46,$3.61,6.78
2024-09-30,26.45,$3.81,6.94
2024-06-30,17.82,$3.63,4.9
2024-03-31,15.73,$3.26,4.82
2023-12-31,17.74,$3.03,5.86
2023-09-30,14.76,$2.88,5.13
2023-06-30,14.88,$2.46,6.05
2023-03-31,13.12,$2.28,5.76
2022-12-31,14.92,$1.54,9.68
2022-09-30,12.4,$0.28,45.06
2022-06-30,11.71,$0.15,76.04
2022-03-31,11.93,$-0.25,0.0
2021-12-31,10.84,$-0.00,0.0
2021-09-30,10.49,$0.49,21.29
2021-06-30,6.62,$0.46,14.48
2021-03-31,6.59,$0.93,7.06
2020-12-31,6.59,$0.90,7.33
2020-09-30,6.53,$0.86,7.57
2020-06-30,6.5,$0.76,8.53
2020-03-31,6.47,$0.44,14.7
2015-12-31,6.28,$0.26,24.1
2015-09-30,6.73,$0.30,22.3
2015-06-30,6.71,$0.25,27.07
2015-03-31,6.19,$0.30,20.79
2014-12-31,6.44,$0.39,16.56
2014-09-30,6.15,$0.32,19.48
2014-06-30,6.25,$0.15,41.09
2014-03-31,6.18,$0.22,28.09
2013-12-31,6.33,$0.11,55.67
2013-09-30,5.89,$0.16,37.17
2013-06-30,5.49,$-0.02,0.0
2013-03-31,4.73,$-0.05,0.0
2012-12-31,4.55,$-0.21,0.0
2012-09-30,4.8,$-0.26,0.0
2012-06-30,4.52,$-0.02,0.0
2012-03-31,4.78,$-0.06,0.0
2011-12-31,4.74,$0.18,25.89
2011-09-30,5.07,$0.57,8.88
2011-06-30,5.68,$0.63,9.08
2011-03-31,4.83,$0.63,7.62
2010-12-31,4.64,$0.58,8.04
2010-09-30,4.88,$0.22,22.65
2010-06-30,4.7,$0.14,34.71
2010-03-31,5.87,$0.06,103.04
2009-12-31,5.34,0,0.0
