Uranium Resources Price to Free Cash Flow Ratio Historical Data,Uranium Resources Price to Free Cash Flow Ratio Historical Data,Uranium Resources Price to Free Cash Flow Ratio Historical Data,Uranium Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.63,,0.0
2024-12-31,0.71,$-0.18,0.0
2024-09-30,0.52,$-0.19,0.0
2024-06-30,0.48,$-0.30,0.0
2024-03-31,0.49,$-0.69,0.0
2023-12-31,0.56,$-1.34,0.0
2023-09-30,0.67,$-1.89,0.0
2023-06-30,0.82,$-2.00,0.0
2023-03-31,1.11,$-1.81,0.0
2022-12-31,0.79,$-1.47,0.0
2022-09-30,1.14,$-1.09,0.0
2022-06-30,1.08,$-0.99,0.0
2022-03-31,2.0,$-0.85,0.0
2021-12-31,2.15,$-0.62,0.0
2021-09-30,3.58,$-0.82,0.0
2021-06-30,4.76,$-0.95,0.0
2021-03-31,5.37,$-1.04,0.0
2020-12-31,4.93,$-1.73,0.0
2020-09-30,2.51,$-2.70,0.0
2020-06-30,2.65,$-4.35,0.0
2020-03-31,0.97,$-4.47,0.0
2019-12-31,2.11,$-5.12,0.0
2019-09-30,3.48,$-7.33,0.0
2019-06-30,5.85,$-6.66,0.0
2019-03-31,6.75,$-7.34,0.0
2018-12-31,7.0,$-12.44,0.0
2018-09-30,10.5,$-14.51,0.0
2018-06-30,20.21,$-27.33,0.0
