ICF Price to Free Cash Flow Ratio Historical Data,ICF Price to Free Cash Flow Ratio Historical Data,ICF Price to Free Cash Flow Ratio Historical Data,ICF Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,84.83,,10.69
2024-12-31,119.21,$7.93,15.03
2024-09-30,166.61,$8.59,19.39
2024-06-30,148.17,$8.62,17.18
2024-03-31,150.19,$7.27,20.66
2023-12-31,133.58,$6.85,19.51
2023-09-30,120.23,$9.26,12.98
2023-06-30,123.66,$7.84,15.78
2023-03-31,108.93,$6.72,16.21
2022-12-31,98.22,$7.24,13.57
2022-09-30,107.97,$1.40,76.98
2022-06-30,93.95,$4.54,20.71
2022-03-31,92.97,$3.94,23.61
2021-12-31,101.13,$4.72,21.42
2021-09-30,87.93,$6.57,13.39
2021-06-30,86.39,$7.97,10.84
2021-03-31,85.81,$9.23,9.29
2020-12-31,72.86,$8.12,8.97
2020-09-30,60.21,$8.41,7.16
2020-06-30,63.3,$6.72,9.43
2020-03-31,66.93,$3.37,19.87
2019-12-31,89.07,$3.36,26.53
2019-09-30,81.99,$2.26,36.31
2019-06-30,70.54,$1.09,64.75
2019-03-31,73.58,$2.16,34.1
2018-12-31,62.53,$2.73,22.87
2018-09-30,72.68,$1.82,40.04
2018-06-30,68.33,$3.16,21.61
2018-03-31,56.1,$4.68,11.99
2017-12-31,50.27,$5.34,9.42
2017-09-30,51.65,$4.22,12.23
2017-06-30,45.1,$3.56,12.67
2017-03-31,39.54,$4.51,8.78
2016-12-31,52.85,$3.41,15.49
2016-09-30,42.43,$3.98,10.67
2016-06-30,39.16,$3.68,10.64
2016-03-31,32.91,$3.63,9.06
2015-12-31,34.05,$3.23,10.54
2015-09-30,29.1,$4.67,6.24
2015-06-30,33.38,$4.18,7.98
2015-03-31,39.11,$2.99,13.1
2014-12-31,39.24,$3.43,11.45
2014-09-30,29.48,$2.06,14.34
2014-06-30,33.86,$1.47,23.08
2014-03-31,38.12,$2.06,18.54
2013-12-31,33.23,$3.42,9.73
2013-09-30,33.9,$2.68,12.66
2013-06-30,30.17,$3.86,7.82
2013-03-31,26.04,$3.94,6.61
2012-12-31,22.44,$3.72,6.04
2012-09-30,19.24,$3.32,5.8
2012-06-30,22.83,$2.23,10.26
2012-03-31,24.29,$2.13,11.41
2011-12-31,23.73,$2.47,9.59
2011-09-30,18.01,$2.62,6.89
2011-06-30,24.3,$2.92,8.31
2011-03-31,19.67,$2.96,6.64
2010-12-31,24.63,$3.08,7.99
2010-09-30,24.01,$2.96,8.11
2010-06-30,22.91,$2.89,7.93
2010-03-31,23.78,$2.66,8.94
2009-12-31,25.66,$2.52,10.2
