LTC Properties Price to Free Cash Flow Ratio Historical Data,LTC Properties Price to Free Cash Flow Ratio Historical Data,LTC Properties Price to Free Cash Flow Ratio Historical Data,LTC Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,35.05,,13.95
2024-12-31,34.55,$2.51,13.75
2024-09-30,36.32,$2.34,15.52
2024-06-30,33.62,$2.48,13.53
2024-03-31,31.14,$1.31,23.85
2023-12-31,30.23,$1.23,24.54
2023-09-30,29.71,$1.44,20.58
2023-06-30,30.01,$1.26,23.78
2023-03-31,31.39,$1.04,30.04
2022-12-31,31.24,$1.11,28.02
2022-09-30,32.44,$0.92,35.36
2022-06-30,32.79,$0.82,39.99
2022-03-31,32.36,$2.10,15.44
2021-12-31,28.26,$2.17,13.04
2021-09-30,25.8,$2.26,11.4
2021-06-30,30.75,$2.47,12.47
2021-03-31,32.95,$2.42,13.63
2020-12-31,30.31,$2.01,15.08
2020-09-30,26.74,$1.56,17.18
2020-06-30,28.45,$0.96,29.5
2020-03-31,22.96,$1.04,22.04
2019-12-31,32.78,$1.02,32.03
2019-09-30,37.06,$1.40,26.44
2019-06-30,32.65,$1.48,22.07
2019-03-31,32.34,$0.69,46.67
2018-12-31,29.06,$0.92,31.63
2018-09-30,30.36,$0.18,167.36
2018-06-30,29.04,$0.63,46.17
2018-03-31,25.44,$-0.18,0.0
2017-12-31,28.74,$-0.07,0.0
2017-09-30,30.62,$0.54,56.48
2017-06-30,33.1,$0.30,111.27
2017-03-31,30.5,$0.30,101.74
2016-12-31,29.55,$-0.48,0.0
2016-09-30,32.31,$-1.32,0.0
2016-06-30,31.82,$-5.35,0.0
2016-03-31,27.51,$-3.89,0.0
2015-12-31,25.91,$-3.68,0.0
2015-09-30,25.3,$-3.16,0.0
2015-06-30,24.38,$0.92,26.39
2015-03-31,26.64,$0.67,39.52
2014-12-31,24.72,$0.98,25.16
2014-09-30,20.87,$1.01,20.64
2014-06-30,21.8,$0.84,25.86
2014-03-31,20.74,$0.93,22.25
2013-12-31,19.24,$1.13,17.01
2013-09-30,20.37,$-1.46,0.0
2013-06-30,20.69,$-3.08,0.0
2013-03-31,21.35,$-2.90,0.0
2012-12-31,18.22,$-3.34,0.0
2012-09-30,16.26,$-1.29,0.0
2012-06-30,18.28,$0.18,99.56
2012-03-31,15.91,$0.40,39.9
2011-12-31,15.13,$-0.99,0.0
2011-09-30,12.23,$-2.23,0.0
2011-06-30,13.23,$-1.70,0.0
2011-03-31,13.27,$-2.77,0.0
2010-12-31,12.96,$-1.43,0.0
2010-09-30,11.6,$0.27,42.65
2010-06-30,10.79,$0.28,38.06
2010-03-31,11.86,$1.19,9.98
2009-12-31,11.55,$1.87,6.18
