Cel-Sci Price to Free Cash Flow Ratio Historical Data,Cel-Sci Price to Free Cash Flow Ratio Historical Data,Cel-Sci Price to Free Cash Flow Ratio Historical Data,Cel-Sci Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.27,,0.0
2024-12-31,0.4,$-0.31,0.0
2024-09-30,1.06,$-0.35,0.0
2024-06-30,1.16,$-0.37,0.0
2024-03-31,1.91,$-0.42,0.0
2023-12-31,2.72,$-0.52,0.0
2023-09-30,1.25,$-0.52,0.0
2023-06-30,2.41,$-0.52,0.0
2023-03-31,2.32,$-0.53,0.0
2022-12-31,2.35,$-0.43,0.0
2022-09-30,3.09,$-0.44,0.0
2022-06-30,4.5,$-0.46,0.0
2022-03-31,3.93,$-0.49,0.0
2021-12-31,7.1,$-0.62,0.0
2021-09-30,10.99,$-0.68,0.0
2021-06-30,8.68,$-0.68,0.0
2021-03-31,15.21,$-0.63,0.0
2020-12-31,11.66,$-0.55,0.0
2020-09-30,12.75,$-0.49,0.0
2020-06-30,14.92,$-0.50,0.0
2020-03-31,11.54,$-0.50,0.0
2019-12-31,9.15,$-0.51,0.0
2019-09-30,8.94,$-0.53,0.0
2019-06-30,8.38,$-0.62,0.0
2019-03-31,3.54,$-0.64,0.0
2018-12-31,2.87,$-0.70,0.0
2018-09-30,4.05,$-0.79,0.0
2018-06-30,0.92,$-1.06,0.0
2018-03-31,1.41,$-1.18,0.0
2017-12-31,1.89,$-1.27,0.0
2017-09-30,1.66,$-1.75,0.0
2017-06-30,2.23,$-2.71,0.0
2017-03-31,2.14,$-3.45,0.0
2016-12-31,1.68,$-4.14,0.0
2016-09-30,7.63,$-4.75,0.0
2016-06-30,11.5,$-5.07,0.0
2016-03-31,13.25,$-5.47,0.0
2015-12-31,9.25,$-6.69,0.0
2015-09-30,15.0,$-7.24,0.0
2015-06-30,16.5,$-8.56,0.0
2015-03-31,26.25,$-8.87,0.0
2014-12-31,14.53,$-8.58,0.0
2014-09-30,22.79,$-9.79,0.0
2014-06-30,31.0,$-9.67,0.0
2014-03-31,38.0,$-10.79,0.0
2013-12-31,14.8,$-11.68,0.0
2013-09-30,42.5,$-11.27,0.0
2013-06-30,53.28,$-11.76,0.0
2013-03-31,57.63,$-11.73,0.0
2012-12-31,67.5,$-11.94,0.0
2012-09-30,86.25,$-12.16,0.0
2012-06-30,93.95,$-14.50,0.0
2012-03-31,120.0,$-20.34,0.0
2011-12-31,72.48,$-22.30,0.0
2011-09-30,91.25,$-27.31,0.0
2011-06-30,124.43,$-27.75,0.0
2011-03-31,157.5,$-23.50,0.0
2010-12-31,205.25,$-20.69,0.0
2010-09-30,161.0,$-16.45,0.0
2010-06-30,122.5,$-16.54,0.0
2010-03-31,162.5,$-14.86,0.0
2009-12-31,225.0,$-16.19,0.0
