Angel Oak Mortgage REIT Price to Free Cash Flow Ratio Historical Data,Angel Oak Mortgage REIT Price to Free Cash Flow Ratio Historical Data,Angel Oak Mortgage REIT Price to Free Cash Flow Ratio Historical Data,Angel Oak Mortgage REIT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.81,,0.0
2024-09-30,10.43,$-10.04,0.0
2024-06-30,13.1,$1.10,11.9
2024-03-31,10.74,$2.80,3.84
2023-12-31,10.6,$12.28,0.86
2023-09-30,8.53,$26.98,0.32
2023-06-30,8.24,$24.34,0.34
2023-03-31,7.3,$22.22,0.33
2022-12-31,4.73,$-13.49,0.0
2022-09-30,11.98,$-66.79,0.0
2022-06-30,12.58,$-78.44,0.0
2022-03-31,15.4,$-99.80,0.0
