Dada Nexus Price to Free Cash Flow Ratio Historical Data,Dada Nexus Price to Free Cash Flow Ratio Historical Data,Dada Nexus Price to Free Cash Flow Ratio Historical Data,Dada Nexus Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.86,,0.0
2024-09-30,1.9,$-0.21,0.0
2024-06-30,1.26,$-0.21,0.0
2024-03-31,2.05,$-0.21,0.0
2023-12-31,3.32,$-0.21,0.0
2023-09-30,4.45,$-0.54,0.0
2023-06-30,5.31,$-0.54,0.0
2023-03-31,8.47,$-0.54,0.0
2022-12-31,6.97,$-0.54,0.0
2022-09-30,4.73,$-1.77,0.0
2022-06-30,8.11,$-1.77,0.0
2022-03-31,9.13,$-1.77,0.0
2021-12-31,13.16,$-1.77,0.0
2021-09-30,20.04,$-1.04,0.0
2021-06-30,29.01,$-1.04,0.0
2021-03-31,27.14,$-1.04,0.0
