Investors Title Price to Free Cash Flow Ratio Historical Data,Investors Title Price to Free Cash Flow Ratio Historical Data,Investors Title Price to Free Cash Flow Ratio Historical Data,Investors Title Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,242.54,,19.47
2024-09-30,218.14,$12.46,17.51
2024-06-30,170.63,$8.67,19.67
2024-03-31,154.17,$6.93,22.26
2023-12-31,152.73,$-0.65,0.0
2023-09-30,135.5,$0.60,225.72
2023-06-30,133.16,$6.62,20.11
2023-03-31,137.26,$7.86,17.46
2022-12-31,133.69,$16.10,8.31
2022-09-30,124.94,$18.08,6.91
2022-06-30,138.59,$22.24,6.23
2022-03-31,178.96,$24.19,7.4
2021-12-31,173.23,$27.44,6.31
2021-09-30,147.81,$23.93,6.18
2021-06-30,141.02,$16.91,8.34
2021-03-31,133.7,$19.12,6.99
2020-12-31,122.9,$16.34,7.52
2020-09-30,95.77,$16.04,5.97
2020-06-30,89.05,$18.02,4.94
2020-03-31,93.62,$11.69,8.01
2019-12-31,115.98,$10.41,11.14
2019-09-30,110.83,$9.42,11.76
2019-06-30,115.29,$9.59,12.02
2019-03-31,108.73,$11.93,9.11
2018-12-31,121.37,$11.91,10.19
2018-09-30,108.9,$7.54,14.44
2018-06-30,119.53,$9.45,12.65
2018-03-31,129.11,$7.69,16.79
2017-12-31,127.86,$9.00,14.21
2017-09-30,113.85,$12.36,9.21
2017-06-30,122.7,$10.35,11.85
2017-03-31,100.14,$10.83,9.25
2016-12-31,100.01,$10.55,9.48
2016-09-30,62.81,$9.07,6.92
2016-06-30,60.0,$7.62,7.88
2016-03-31,57.27,$8.09,7.08
2015-12-31,62.77,$7.16,8.77
2015-09-30,44.99,$7.20,6.25
2015-06-30,44.37,$6.31,7.03
2015-03-31,46.29,$4.52,10.25
2014-12-31,45.53,$3.77,12.06
2014-09-30,45.66,$2.35,19.47
2014-06-30,41.99,$3.84,10.94
2014-03-31,47.24,$4.78,9.87
2013-12-31,50.35,$6.69,7.52
2013-09-30,46.65,$7.18,6.5
2013-06-30,44.01,$5.25,8.39
2013-03-31,42.8,$4.88,8.77
2012-12-31,37.14,$3.87,9.61
2012-09-30,40.33,$2.99,13.5
2012-06-30,35.15,$3.25,10.81
2012-03-31,28.81,$2.97,9.71
2011-12-31,22.02,$4.00,5.5
2011-09-30,21.68,$4.60,4.71
2011-06-30,24.44,$3.37,7.25
2011-03-31,19.47,$2.88,6.77
2010-12-31,18.63,$1.72,10.84
2010-09-30,19.86,$2.28,8.7
2010-06-30,19.27,$2.99,6.44
2010-03-31,20.62,$3.59,5.74
2009-12-31,18.71,$3.14,5.95
