LeMaitre Vascular Price to Free Cash Flow Ratio Historical Data,LeMaitre Vascular Price to Free Cash Flow Ratio Historical Data,LeMaitre Vascular Price to Free Cash Flow Ratio Historical Data,LeMaitre Vascular Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,85.68,,52.52
2024-12-31,92.14,$1.63,56.48
2024-09-30,92.75,$1.48,62.82
2024-06-30,82.0,$1.41,58.29
2024-03-31,66.0,$1.47,44.83
2023-12-31,56.32,$1.32,42.83
2023-09-30,53.91,$1.06,50.95
2023-06-30,66.41,$0.89,74.86
2023-03-31,50.69,$0.86,59.25
2022-12-31,45.2,$1.04,43.55
2022-09-30,49.64,$1.10,45.02
2022-06-30,44.5,$1.33,33.58
2022-03-31,45.27,$1.36,33.4
2021-12-31,48.8,$1.41,34.68
2021-09-30,51.47,$1.81,28.49
2021-06-30,59.04,$2.03,29.02
2021-03-31,47.09,$1.88,25.09
2020-12-31,39.0,$1.65,23.6
2020-09-30,31.25,$1.23,25.45
2020-06-30,25.29,$0.65,38.68
2020-03-31,23.78,$0.58,41.07
2019-12-31,34.19,$0.51,66.71
2019-09-30,32.43,$0.57,57.12
2019-06-30,26.47,$0.57,46.49
2019-03-31,29.24,$0.60,48.92
2018-12-31,22.23,$0.81,27.35
2018-09-30,36.34,$0.81,44.87
2018-06-30,31.35,$0.91,34.33
2018-03-31,33.86,$0.95,35.78
2017-12-31,29.7,$0.82,36.16
2017-09-30,34.85,$0.73,47.9
2017-06-30,29.02,$0.74,39.46
2017-03-31,22.86,$0.74,30.81
2016-12-31,23.46,$0.73,32.12
2016-09-30,18.34,$0.74,24.67
2016-06-30,13.15,$0.63,20.89
2016-03-31,14.26,$0.58,24.52
2015-12-31,15.8,$0.50,31.52
2015-09-30,11.13,$0.46,24.11
2015-06-30,10.98,$0.43,25.43
2015-03-31,7.6,$0.34,22.41
2014-12-31,6.91,$0.26,27.07
2014-09-30,6.18,$0.18,33.68
2014-06-30,7.39,$0.16,46.86
2014-03-31,7.18,$0.10,73.6
2013-12-31,7.1,$0.17,42.15
2013-09-30,5.92,$0.10,58.64
2013-06-30,5.75,$0.08,71.96
2013-03-31,5.42,$0.15,35.69
2012-12-31,5.0,$0.22,22.25
2012-09-30,5.57,$0.17,33.24
2012-06-30,5.18,$0.17,30.74
2012-03-31,5.06,$0.26,19.34
2011-12-31,5.07,$0.07,70.45
2011-09-30,5.3,$0.11,49.06
2011-06-30,6.01,$0.13,46.91
2011-03-31,5.77,$0.07,85.64
2010-12-31,5.72,$0.28,20.12
2010-09-30,5.96,$0.42,14.1
2010-06-30,4.73,$0.48,9.94
2010-03-31,3.8,$0.49,7.73
2009-12-31,4.23,$0.31,13.83
