ASP Isotopes Price to Free Cash Flow Ratio Historical Data,ASP Isotopes Price to Free Cash Flow Ratio Historical Data,ASP Isotopes Price to Free Cash Flow Ratio Historical Data,ASP Isotopes Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.24,,0.0
2024-09-30,2.78,$-0.43,0.0
2024-06-30,3.06,$-0.37,0.0
2024-03-31,4.13,$-0.27,0.0
2023-12-31,1.79,$-0.23,0.0
2023-09-30,0.95,$-0.42,0.0
