Portman Ridge Finance Price to Free Cash Flow Ratio Historical Data,Portman Ridge Finance Price to Free Cash Flow Ratio Historical Data,Portman Ridge Finance Price to Free Cash Flow Ratio Historical Data,Portman Ridge Finance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.68,,2.57
2024-12-31,16.34,$6.11,2.68
2024-09-30,17.84,$8.34,2.14
2024-06-30,18.2,$8.58,2.12
2024-03-31,17.01,$9.54,1.78
2023-12-31,15.72,$12.71,1.24
2023-09-30,15.98,$7.48,2.14
2023-06-30,16.03,$5.22,3.07
2023-03-31,15.98,$-1.45,0.0
2022-12-31,17.27,$-3.44,0.0
2022-09-30,15.3,$-0.67,0.0
2022-06-30,16.62,$-4.92,0.0
2022-03-31,16.68,$2.82,5.91
2021-12-31,16.64,$7.16,2.32
2021-09-30,15.97,$30.69,0.52
2021-06-30,15.23,$35.45,0.43
2021-03-31,13.48,$25.13,0.54
2020-12-31,11.58,$24.34,0.48
2020-09-30,7.73,$-0.10,0.0
2020-06-30,6.09,$-1.04,0.0
2020-03-31,4.91,$6.33,0.78
2019-12-31,10.85,$-4.27,0.0
2019-09-30,11.2,$-1.56,0.0
2019-06-30,10.92,$-0.49,0.0
2019-03-31,17.57,$-0.60,0.0
2018-12-31,16.32,$6.47,2.52
2018-09-30,15.15,$3.93,3.86
2018-06-30,14.43,$22.98,0.63
2018-03-31,13.52,$24.09,0.56
2017-12-31,14.27,$23.93,0.6
2017-09-30,14.8,$23.57,0.63
2017-06-30,13.84,$7.94,1.74
2017-03-31,15.49,$9.89,1.57
2016-12-31,14.71,$13.87,1.06
2016-09-30,16.57,$18.22,0.91
2016-06-30,13.5,$17.44,0.77
2016-03-31,11.87,$17.87,0.66
2015-12-31,12.94,$10.06,1.29
2015-09-30,13.79,$-3.58,0.0
2015-06-30,17.63,$-4.01,0.0
2015-03-31,19.21,$-6.68,0.0
2014-12-31,19.47,$-1.95,0.0
2014-09-30,22.2,$6.67,3.33
2014-06-30,22.01,$-16.08,0.0
2014-03-31,21.81,$-19.21,0.0
2013-12-31,20.33,$-32.82,0.0
2013-09-30,21.27,$-37.02,0.0
2013-06-30,26.06,$-14.06,0.0
2013-03-31,24.26,$-18.34,0.0
2012-12-31,20.7,$-6.23,0.0
2012-09-30,19.74,$0.51,38.66
2012-06-30,14.99,$-0.67,0.0
2012-03-31,13.9,$-22.98,0.0
2011-12-31,12.7,$-13.54,0.0
2011-09-30,11.12,$39.91,0.28
2011-06-30,14.8,$45.06,0.33
2011-03-31,15.05,$97.81,0.15
2010-12-31,12.7,$88.44,0.14
2010-09-30,11.61,$49.02,0.24
2010-06-30,8.39,$46.57,0.18
2010-03-31,9.21,$24.30,0.38
2009-12-31,7.42,$37.80,0.2
