Gryphon Digital Mining Price to Free Cash Flow Ratio Historical Data,Gryphon Digital Mining Price to Free Cash Flow Ratio Historical Data,Gryphon Digital Mining Price to Free Cash Flow Ratio Historical Data,Gryphon Digital Mining Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.2,,0.0
2024-09-30,0.68,$-16.06,0.0
2024-06-30,1.19,$-16.00,0.0
2024-03-31,1.49,$-15.97,0.0
2023-12-31,0.44,$-15.87,0.0
2023-09-30,0.22,$3.50,0.06
2023-06-30,0.61,$33.33,0.02
2023-03-31,0.8,$-14.03,0.0
2022-12-31,0.69,$-67.68,0.0
2022-09-30,0.09,$-156.04,0.0
2022-06-30,0.14,$-220.36,0.0
2022-03-31,1.14,$-228.85,0.0
2021-12-31,1.75,$-212.71,0.0
2021-09-30,2.82,$312.18,0.01
2021-06-30,4.03,$232.87,0.02
2021-03-31,4.94,$109.23,0.05
2020-12-31,3.24,$-0.00,0.0
2020-09-30,3.64,$-563.82,0.0
2020-06-30,8.8,$-584.69,0.0
2020-03-31,5.12,$17.11,0.3
2019-12-31,8.43,$-258.54,0.0
2019-09-30,5.93,$-295.93,0.0
2019-06-30,21.6,$-188.34,0.0
2019-03-31,10.1,$-626.49,0.0
2018-12-31,10.09,$-231.76,0.0
