Emeren Group Price to Free Cash Flow Ratio Historical Data,Emeren Group Price to Free Cash Flow Ratio Historical Data,Emeren Group Price to Free Cash Flow Ratio Historical Data,Emeren Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.71,,0.0
2024-09-30,2.7,$-0.45,0.0
2024-06-30,1.5,$-0.38,0.0
2024-03-31,1.93,$-0.33,0.0
2023-12-31,2.73,$-0.61,0.0
2023-09-30,3.08,$-1.77,0.0
2023-06-30,3.79,$-1.53,0.0
2023-03-31,4.45,$-1.35,0.0
2022-12-31,4.52,$-1.12,0.0
2022-09-30,5.04,$0.19,25.97
2022-06-30,4.75,$0.07,69.65
2022-03-31,5.81,$0.13,44.49
2021-12-31,5.96,$0.19,30.71
2021-09-30,6.57,$-0.18,0.0
2021-06-30,9.1,$-0.12,0.0
2021-03-31,12.33,$-0.17,0.0
2020-12-31,11.43,$-0.22,0.0
2020-09-30,2.07,$0.08,25.09
2020-06-30,1.14,$1.47,0.77
2020-03-31,1.16,$1.13,1.02
2019-12-31,1.42,$1.34,1.06
2019-09-30,1.49,$-1.19,0.0
2019-06-30,1.28,$-2.63,0.0
2019-03-31,1.69,$-2.40,0.0
2018-12-31,1.19,$-2.40,0.0
2018-09-30,2.02,$-2.51,0.0
2018-06-30,2.55,$0.67,3.79
2018-03-31,2.56,$-0.36,0.0
2017-12-31,2.66,$-2.51,0.0
2017-09-30,2.33,$1.52,1.53
2017-06-30,2.44,$-1.04,0.0
2017-03-31,2.4,$-0.30,0.0
2016-12-31,3.2,$1.52,2.11
2016-09-30,5.05,$-2.01,0.0
2016-06-30,6.2,$0.04,160.62
2016-03-31,7.2,$-0.24,0.0
2015-12-31,8.5,$-0.43,0.0
2015-09-30,4.86,$3.21,1.51
2015-06-30,6.85,$-0.18,0.0
2015-03-31,7.35,$-1.83,0.0
2014-12-31,7.05,$-8.65,0.0
2014-09-30,15.0,$-13.60,0.0
2014-06-30,14.75,$-10.57,0.0
2014-03-31,16.05,$-7.65,0.0
2013-12-31,17.25,$-0.40,0.0
2013-09-30,24.95,$3.17,7.88
2013-06-30,10.7,$-3.68,0.0
2013-03-31,6.9,$-5.71,0.0
2012-12-31,7.7,$-13.38,0.0
2012-09-30,7.15,$-5.46,0.0
2012-06-30,6.3,$-7.86,0.0
2012-03-31,11.55,$-6.77,0.0
2011-12-31,7.65,0,0.0
2011-09-30,8.6,$1.12,7.66
2011-06-30,26.1,$10.33,2.53
2011-03-31,52.75,$13.57,3.89
2010-12-31,43.7,$14.92,2.93
2010-09-30,62.5,$5.22,11.97
2010-06-30,29.85,$0.09,350.76
2010-03-31,29.6,$-7.82,0.0
2009-12-31,23.8,$-8.20,0.0
