Mitsubishi UFJ Financial Price to Free Cash Flow Ratio Historical Data,Mitsubishi UFJ Financial Price to Free Cash Flow Ratio Historical Data,Mitsubishi UFJ Financial Price to Free Cash Flow Ratio Historical Data,Mitsubishi UFJ Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.33,,inf
2024-06-30,10.63,0,0.0
2023-06-30,7.05,0,0.0
2022-06-30,4.89,0,0.0
2021-06-30,4.81,0,0.0
2020-06-30,3.32,0,0.0
2019-06-30,3.81,0,0.0
2018-06-30,4.44,0,0.0
2017-06-30,5.24,0,0.0
2016-06-30,3.35,0,0.0
2015-06-30,5.29,$-0.30,0.0
2014-06-30,4.51,$-0.30,0.0
2013-06-30,4.51,$-0.30,0.0
2013-03-31,4.36,$-0.30,0.0
2012-12-31,3.89,$0.41,9.48
2012-09-30,3.34,$0.41,8.13
2012-06-30,3.36,$0.41,8.19
2012-03-31,3.52,$0.41,8.58
2011-12-31,2.92,0,0.0
2011-09-30,3.1,0,0.0
2011-06-30,3.32,0,0.0
2011-03-31,3.16,0,0.0
2010-12-31,3.67,$11.04,0.33
2010-09-30,3.14,$11.04,0.28
2010-06-30,3.05,$11.04,0.28
2010-03-31,3.49,$11.04,0.32
2009-12-31,3.25,$-1.21,0.0
