Prothena Price to Free Cash Flow Ratio Historical Data,Prothena Price to Free Cash Flow Ratio Historical Data,Prothena Price to Free Cash Flow Ratio Historical Data,Prothena Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.87,,0.0
2024-12-31,13.85,$-2.80,0.0
2024-09-30,16.73,$-3.02,0.0
2024-06-30,20.64,$-1.86,0.0
2024-03-31,24.77,$-3.03,0.0
2023-12-31,36.34,$-2.57,0.0
2023-09-30,48.25,$-1.54,0.0
2023-06-30,68.28,$-2.51,0.0
2023-03-31,48.47,$-2.41,0.0
2022-12-31,60.25,$-2.31,0.0
2022-09-30,60.63,$-2.56,0.0
2022-06-30,27.15,$0.28,96.65
2022-03-31,36.57,$1.93,18.9
2021-12-31,49.4,$1.90,26.02
2021-09-30,71.23,$1.76,40.42
2021-06-30,51.41,$-0.91,0.0
2021-03-31,25.12,$-2.27,0.0
2020-12-31,12.01,$-2.02,0.0
2020-09-30,9.99,$-1.90,0.0
2020-06-30,10.46,$-1.65,0.0
2020-03-31,10.7,$-1.48,0.0
2019-12-31,15.83,$-1.34,0.0
2019-09-30,7.84,$-1.55,0.0
2019-06-30,10.57,$-2.16,0.0
2019-03-31,12.13,$-0.38,0.0
2018-12-31,10.3,$-0.76,0.0
2018-09-30,13.08,$-1.29,0.0
2018-06-30,14.58,$-0.91,0.0
2018-03-31,36.71,$-3.27,0.0
2017-12-31,37.49,$-3.58,0.0
2017-09-30,64.77,$-3.67,0.0
2017-06-30,54.12,$-4.33,0.0
2017-03-31,55.79,$-4.25,0.0
2016-12-31,49.19,$-3.87,0.0
2016-09-30,59.97,$-3.28,0.0
2016-06-30,34.96,$-2.69,0.0
2016-03-31,41.16,$-2.18,0.0
2015-12-31,68.11,$-1.98,0.0
2015-09-30,45.34,$-1.84,0.0
2015-06-30,52.67,$-1.93,0.0
2015-03-31,38.14,$-1.36,0.0
2014-12-31,20.76,$-0.05,0.0
2014-09-30,22.16,$-0.05,0.0
2014-06-30,22.55,$-0.02,0.0
2014-03-31,38.31,$-0.68,0.0
2013-12-31,26.52,$-1.75,0.0
2013-09-30,20.23,$-4.20,0.0
