Greenwich LifeSciences Price to Free Cash Flow Ratio Historical Data,Greenwich LifeSciences Price to Free Cash Flow Ratio Historical Data,Greenwich LifeSciences Price to Free Cash Flow Ratio Historical Data,Greenwich LifeSciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.34,,0.0
2024-09-30,14.37,$-0.58,0.0
2024-06-30,17.26,$-0.53,0.0
2024-03-31,19.94,$-0.52,0.0
2023-12-31,10.52,$-0.50,0.0
2023-09-30,8.84,$-0.50,0.0
2023-06-30,9.65,$-0.48,0.0
2023-03-31,13.79,$-0.45,0.0
2022-12-31,15.2,$-0.48,0.0
2022-09-30,9.1,$-0.49,0.0
2022-06-30,8.47,$-0.44,0.0
2022-03-31,19.62,$-0.44,0.0
2021-12-31,24.33,$-0.33,0.0
2021-09-30,39.07,$-0.28,0.0
2021-06-30,44.94,$-0.21,0.0
