Shinhan Financial Group Co Price to Free Cash Flow Ratio Historical Data,Shinhan Financial Group Co Price to Free Cash Flow Ratio Historical Data,Shinhan Financial Group Co Price to Free Cash Flow Ratio Historical Data,Shinhan Financial Group Co Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,32.49,,0.0
2024-09-30,42.37,$-2.00,0.0
2024-06-30,34.49,$-24.51,0.0
2024-03-31,34.78,$-7.23,0.0
2023-12-31,29.52,$0.44,67.32
2023-09-30,25.41,$20.44,1.24
2023-06-30,24.63,$25.76,0.96
2023-03-31,25.07,$14.49,1.73
2022-12-31,25.62,$9.71,2.64
2022-09-30,20.62,$0.70,29.33
2022-06-30,25.3,$13.62,1.86
2022-03-31,29.31,$12.52,2.34
2021-12-31,26.85,$18.14,1.48
2021-09-30,28.21,$8.97,3.15
2021-06-30,29.84,$-1.57,0.0
2021-03-31,27.72,$-0.15,0.0
2020-12-31,24.6,$-7.10,0.0
2020-09-30,18.17,$-4.65,0.0
2020-06-30,19.03,$5.22,3.64
2020-03-31,18.43,$7.10,2.6
2019-12-31,30.11,$11.67,2.58
2019-09-30,26.6,$4.16,6.4
2019-06-30,29.56,$-0.70,0.0
2019-03-31,28.25,$-6.62,0.0
2018-12-31,26.98,$-12.34,0.0
2018-09-30,29.37,$2.78,10.55
2018-06-30,28.16,$-0.80,0.0
2018-03-31,31.03,$-1.06,0.0
2017-12-31,33.96,$1.64,20.74
2017-09-30,31.51,$-0.09,0.0
2017-06-30,30.93,$1.79,17.28
2017-03-31,29.72,$9.00,3.3
2016-12-31,26.77,$6.74,3.97
2016-09-30,25.09,$8.13,3.09
2016-06-30,22.55,$10.45,2.16
2016-03-31,24.25,$9.39,2.58
2015-12-31,23.13,$5.33,4.34
2015-09-30,23.27,$-61.87,0.0
2015-06-30,24.78,$-68.44,0.0
2015-03-31,24.94,$-68.81,0.0
2014-12-31,27.0,$-68.13,0.0
2014-09-30,30.39,$-2.07,0.0
2014-06-30,30.66,$3.68,8.34
2014-03-31,29.38,$2.90,10.14
2013-12-31,30.55,$-2.85,0.0
2013-09-30,26.8,$-10.12,0.0
2013-06-30,21.52,$-13.41,0.0
2013-03-31,23.75,$-15.97,0.0
2012-12-31,24.24,0,0.0
2012-09-30,21.93,$-3.17,0.0
2012-06-30,23.18,$7.50,3.09
2012-03-31,25.18,$-2.00,0.0
2011-12-31,22.28,$2.10,10.59
2011-09-30,22.02,$-2.09,0.0
2011-06-30,30.88,$-12.55,0.0
2011-03-31,29.15,$-1.94,0.0
2010-12-31,30.19,$-11.72,0.0
2010-09-30,24.4,0,0.0
2010-06-30,23.24,0,0.0
2010-03-31,25.3,0,0.0
2009-12-31,23.64,0,0.0
