Palatin Technologies Price to Free Cash Flow Ratio Historical Data,Palatin Technologies Price to Free Cash Flow Ratio Historical Data,Palatin Technologies Price to Free Cash Flow Ratio Historical Data,Palatin Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.76,,0.0
2024-12-31,1.11,$-1.55,0.0
2024-09-30,0.89,$-2.01,0.0
2024-06-30,1.95,$-2.14,0.0
2024-03-31,1.87,$-2.56,0.0
2023-12-31,3.98,$-2.18,0.0
2023-09-30,1.51,$-2.31,0.0
2023-06-30,2.1,$-2.73,0.0
2023-03-31,2.75,$-2.57,0.0
2022-12-31,2.56,$-3.53,0.0
2022-09-30,5.92,$-3.39,0.0
2022-06-30,7.02,$-3.16,0.0
2022-03-31,11.5,$-3.25,0.0
2021-12-31,12.79,$-2.62,0.0
2021-09-30,11.07,$-3.48,0.0
2021-06-30,15.25,$-2.39,0.0
2021-03-31,17.24,$-2.14,0.0
2020-12-31,16.9,$-2.04,0.0
2020-09-30,11.82,$-1.09,0.0
2020-06-30,12.8,$4.38,2.92
2020-03-31,10.59,$4.31,2.46
2019-12-31,19.56,$4.13,4.74
2019-09-30,22.72,$4.04,5.63
2019-06-30,29.0,$-2.51,0.0
2019-03-31,24.51,$-0.48,0.0
2018-12-31,17.71,$-0.94,0.0
2018-09-30,24.94,$-0.65,0.0
2018-06-30,24.25,$0.20,119.43
2018-03-31,27.25,$-2.66,0.0
2017-12-31,21.47,$4.03,5.33
2017-09-30,16.58,$2.90,5.71
2017-06-30,10.75,$1.73,6.21
2017-03-31,8.19,$1.10,7.47
2016-12-31,12.63,$-6.31,0.0
2016-09-30,15.73,$-7.05,0.0
2016-06-30,11.04,$-7.57,0.0
2016-03-31,13.5,$-7.42,0.0
2015-12-31,16.6,$-6.84,0.0
2015-09-30,20.25,$-5.59,0.0
2015-06-30,22.25,$-2.76,0.0
2015-03-31,25.5,$-1.78,0.0
2014-12-31,18.25,$-1.09,0.0
2014-09-30,23.25,$-1.06,0.0
2014-06-30,24.75,$-2.86,0.0
2014-03-31,30.75,$-3.28,0.0
2013-12-31,18.35,$-3.71,0.0
2013-09-30,17.25,$-2.34,0.0
2013-06-30,15.5,$-3.51,0.0
2013-03-31,15.0,$-5.57,0.0
2012-12-31,15.0,$-7.02,0.0
2012-09-30,17.15,$-9.55,0.0
2012-06-30,12.5,$-10.75,0.0
2012-03-31,18.25,$-12.30,0.0
2011-12-31,10.05,$-7.70,0.0
2011-09-30,12.75,$-7.60,0.0
2011-06-30,32.0,$-13.72,0.0
2011-03-31,25.75,$-16.79,0.0
2010-12-31,33.75,$-17.42,0.0
2010-09-30,40.5,$-15.37,0.0
2010-06-30,45.0,$-14.43,0.0
2010-03-31,64.28,$-15.36,0.0
2009-12-31,92.38,$-21.85,0.0
