Talphera Price to Free Cash Flow Ratio Historical Data,Talphera Price to Free Cash Flow Ratio Historical Data,Talphera Price to Free Cash Flow Ratio Historical Data,Talphera Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.62,,0.0
2024-09-30,0.86,$-0.79,0.0
2024-06-30,0.89,$-0.60,0.0
2024-03-31,1.03,$-0.67,0.0
2023-12-31,0.74,$-1.04,0.0
2023-09-30,0.58,$-1.60,0.0
2023-06-30,1.11,$-2.41,0.0
2023-03-31,0.66,$-3.35,0.0
2022-12-31,2.26,$-4.10,0.0
2022-09-30,4.18,$-4.47,0.0
2022-06-30,4.89,$-4.43,0.0
2022-03-31,5.71,$-4.83,0.0
2021-12-31,11.2,$-5.31,0.0
2021-09-30,20.4,$-6.09,0.0
2021-06-30,27.6,$-6.76,0.0
2021-03-31,34.0,$-7.58,0.0
2020-12-31,24.8,$-9.47,0.0
2020-09-30,28.4,$-11.04,0.0
2020-06-30,24.2,$-12.88,0.0
2020-03-31,23.6,$-13.88,0.0
2019-12-31,42.2,$-13.80,0.0
2019-09-30,44.0,$-13.48,0.0
2019-06-30,50.6,$-11.70,0.0
2019-03-31,69.6,$-10.79,0.0
2018-12-31,46.2,$-10.24,0.0
2018-09-30,77.0,$-9.57,0.0
2018-06-30,67.5,$-11.14,0.0
2018-03-31,42.0,$-13.14,0.0
2017-12-31,40.5,$-13.72,0.0
2017-09-30,92.0,$-16.40,0.0
2017-06-30,43.0,$-16.15,0.0
2017-03-31,63.0,$-15.34,0.0
2016-12-31,52.0,$-14.62,0.0
2016-09-30,77.8,$-6.42,0.0
2016-06-30,53.8,$-6.08,0.0
2016-03-31,61.6,$-7.39,0.0
2015-12-31,77.0,$-9.63,0.0
2015-09-30,61.0,$-16.81,0.0
2015-06-30,84.8,$-18.22,0.0
2015-03-31,77.2,$-17.88,0.0
2014-12-31,134.6,$-18.03,0.0
2014-09-30,109.8,$-2.42,0.0
2014-06-30,205.0,$-1.45,0.0
2014-03-31,240.2,$-1.88,0.0
2013-12-31,226.2,$-1.90,0.0
2013-09-30,215.6,$-18.90,0.0
2013-06-30,185.4,$-20.90,0.0
2013-03-31,103.2,$-19.88,0.0
2012-12-31,85.2,$-22.97,0.0
2012-09-30,63.8,$-25.81,0.0
2012-06-30,65.0,$-26.92,0.0
2012-03-31,69.8,$-25.66,0.0
2011-12-31,38.4,$-19.96,0.0
