Stewart Information Services Price to Free Cash Flow Ratio Historical Data,Stewart Information Services Price to Free Cash Flow Ratio Historical Data,Stewart Information Services Price to Free Cash Flow Ratio Historical Data,Stewart Information Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,70.92,,20.97
2024-12-31,67.49,$3.38,19.95
2024-09-30,74.24,$2.53,29.38
2024-06-30,61.26,$1.79,34.15
2024-03-31,63.71,$2.43,26.25
2023-12-31,57.08,$1.64,34.71
2023-09-30,42.2,$0.94,45.1
2023-06-30,39.23,$0.71,55.02
2023-03-31,38.07,$2.21,17.25
2022-12-31,39.85,$5.26,7.57
2022-09-30,40.29,$9.27,4.34
2022-06-30,45.5,$11.37,4.0
2022-03-31,55.02,$12.60,4.37
2021-12-31,71.96,$13.29,5.41
2021-09-30,56.81,$14.20,4.0
2021-06-30,50.63,$13.99,3.62
2021-03-31,46.21,$12.70,3.64
2020-12-31,42.69,$10.48,4.07
2020-09-30,38.36,$7.49,5.13
2020-06-30,28.33,$8.85,3.2
2020-03-31,23.02,$7.47,3.08
2019-12-31,34.89,$6.34,5.5
2019-09-30,32.95,$5.63,5.85
2019-06-30,34.1,$2.35,14.52
2019-03-31,35.69,$2.62,13.64
2018-12-31,34.37,$3.11,11.06
2018-09-30,37.1,$3.88,9.56
2018-06-30,35.26,$3.67,9.6
2018-03-31,35.73,$3.64,9.81
2017-12-31,34.15,$3.91,8.74
2017-09-30,30.26,$3.87,7.81
2017-06-30,36.07,$4.50,8.01
2017-03-31,34.88,$5.04,6.92
2016-12-31,36.13,$4.49,8.04
2016-09-30,34.6,$2.65,13.04
2016-06-30,32.02,$3.32,9.65
2016-03-31,27.84,$2.49,11.17
2015-12-31,28.38,$2.76,10.27
2015-09-30,30.88,$4.19,7.37
2015-06-30,29.84,$3.33,8.97
2015-03-31,30.28,$3.00,10.09
2014-12-31,27.59,$1.94,14.21
2014-09-30,21.8,$0.57,38.07
2014-06-30,23.04,$-0.15,0.0
2014-03-31,26.1,$0.89,29.3
2013-12-31,23.97,$2.91,8.23
2013-09-30,23.69,$4.83,4.91
2013-06-30,19.39,$5.31,3.65
2013-03-31,18.86,$5.21,3.62
2012-12-31,19.25,$4.45,4.33
2012-09-30,14.86,$3.02,4.91
2012-06-30,11.32,$1.58,7.16
2012-03-31,10.48,$1.45,7.21
2011-12-31,8.52,$0.30,28.57
2011-09-30,6.49,$0.65,10.0
2011-06-30,7.37,$0.90,8.14
2011-03-31,7.7,$-1.15,0.0
2010-12-31,8.47,$1.71,4.96
2010-09-30,8.28,$0.11,74.9
2010-06-30,6.59,$-0.01,0.0
2010-03-31,10.09,$0.62,16.4
2009-12-31,8.25,$-1.54,0.0
