Sohu Price to Free Cash Flow Ratio Historical Data,Sohu Price to Free Cash Flow Ratio Historical Data,Sohu Price to Free Cash Flow Ratio Historical Data,Sohu Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.88,,0.0
2024-12-31,13.18,$-1.54,0.0
2024-09-30,15.75,$-0.84,0.0
2024-06-30,13.92,$-0.84,0.0
2024-03-31,10.57,$-0.84,0.0
2023-12-31,9.93,$-0.84,0.0
2023-09-30,9.42,$0.68,13.87
2023-06-30,11.02,$0.68,16.22
2023-03-31,14.73,$0.68,21.69
2022-12-31,13.71,$0.68,20.19
2022-09-30,16.07,$-1.75,0.0
2022-06-30,16.57,$-1.75,0.0
2022-03-31,16.82,$-1.75,0.0
2021-12-31,16.28,$-1.75,0.0
2021-09-30,20.84,$2.25,9.26
2021-06-30,18.6,$2.25,8.27
2021-03-31,15.72,$2.25,6.99
2020-12-31,15.94,$2.25,7.09
2020-09-30,19.86,$4.98,3.99
2020-06-30,9.21,$4.98,1.85
2020-03-31,6.23,$4.98,1.25
2019-12-31,11.18,$4.98,2.25
2019-09-30,10.16,$-0.44,0.0
2019-06-30,14.0,$-0.44,0.0
2019-03-31,16.58,$-0.47,0.0
2018-12-31,17.42,$-0.44,0.0
2018-09-30,19.88,$2.30,8.63
2018-06-30,35.5,$4.21,8.44
2018-03-31,30.92,$3.92,7.89
2017-12-31,43.35,$2.80,15.49
2017-09-30,54.45,$0.76,71.4
2017-06-30,45.06,$-0.62,0.0
2017-03-31,39.33,$1.14,34.63
2016-12-31,33.89,$3.48,9.75
2016-09-30,44.25,$6.63,6.67
2016-06-30,37.86,$9.42,4.02
2016-03-31,49.54,$11.22,4.41
2015-12-31,57.19,$10.49,5.45
2015-09-30,41.3,$8.11,5.09
2015-06-30,59.09,$7.60,7.77
2015-03-31,53.33,$3.29,16.21
2014-12-31,53.18,$1.60,33.32
2014-09-30,50.23,$3.13,16.07
2014-06-30,57.69,$2.61,22.1
2014-03-31,65.09,$5.88,11.08
2013-12-31,72.93,$7.53,9.68
2013-09-30,78.83,$7.15,11.03
2013-06-30,61.62,$8.14,7.57
2013-03-31,49.61,$7.07,7.02
2012-12-31,47.34,$8.16,5.8
2012-09-30,42.09,$6.71,6.28
2012-06-30,44.64,$4.85,9.2
2012-03-31,55.17,$5.10,10.82
2011-12-31,50.0,$5.17,9.67
2011-09-30,48.2,$6.81,7.08
2011-06-30,72.27,$5.53,13.07
2011-03-31,89.36,$4.59,19.48
2010-12-31,63.49,$3.90,16.3
2010-09-30,57.62,$1.69,34.14
2010-06-30,41.09,$2.86,14.37
2010-03-31,54.6,$3.56,15.34
2009-12-31,57.28,$4.01,14.3
