1st Source Price to Free Cash Flow Ratio Historical Data,1st Source Price to Free Cash Flow Ratio Historical Data,1st Source Price to Free Cash Flow Ratio Historical Data,1st Source Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,61.67,,7.92
2024-12-31,58.38,$7.78,7.5
2024-09-30,59.52,$8.34,7.14
2024-06-30,52.97,$7.72,6.87
2024-03-31,51.45,$7.59,6.78
2023-12-31,53.57,$7.65,7.01
2023-09-30,40.74,$7.56,5.39
2023-06-30,40.31,$7.29,5.53
2023-03-31,41.16,$7.36,5.59
2022-12-31,50.33,$7.39,6.81
2022-09-30,43.65,$8.11,5.38
2022-06-30,42.52,$7.12,5.97
2022-03-31,43.01,$7.06,6.09
2021-12-31,45.84,$6.84,6.7
2021-09-30,43.38,$7.19,6.04
2021-06-30,42.37,$8.53,4.97
2021-03-31,43.13,$7.60,5.67
2020-12-31,36.26,$7.38,4.91
2020-09-30,27.52,$6.65,4.14
2020-06-30,31.48,$6.32,4.98
2020-03-31,28.45,$6.63,4.29
2019-12-31,45.24,$6.58,6.88
2019-09-30,39.66,$7.35,5.4
2019-06-30,40.0,$6.36,6.29
2019-03-31,38.72,$6.31,6.14
2018-12-31,34.57,$5.75,6.01
2018-09-30,44.86,$4.64,9.68
2018-06-30,45.35,$4.99,9.09
2018-03-31,42.77,$3.74,11.43
2017-12-31,41.6,$3.73,11.16
2017-09-30,42.57,$2.93,14.55
2017-06-30,40.02,$2.27,17.66
2017-03-31,39.04,$2.48,15.75
2016-12-31,36.98,$2.37,15.63
2016-09-30,29.4,$1.70,17.33
2016-06-30,26.54,$1.85,14.32
2016-03-31,25.95,$2.00,12.97
2015-12-31,25.01,$1.66,15.03
2015-09-30,24.84,$1.58,15.75
2015-06-30,24.85,$1.76,14.12
2015-03-31,23.27,$1.53,15.21
2014-12-31,24.7,$1.79,13.83
2014-09-30,20.38,$2.26,9.04
2014-06-30,21.78,$1.91,11.43
2014-03-31,22.68,$2.47,9.18
2013-12-31,22.45,$2.32,9.7
2013-09-30,18.82,$3.01,6.25
2013-06-30,16.51,$2.95,5.6
2013-03-31,16.35,$2.89,5.66
2012-12-31,15.12,$3.22,4.7
2012-09-30,15.13,$3.31,4.56
2012-06-30,15.24,$2.89,5.27
2012-03-31,16.38,$3.05,5.37
2011-12-31,16.85,$3.86,4.37
2011-09-30,13.76,$7.36,1.87
2011-06-30,13.61,$6.10,2.23
2011-03-31,13.05,$4.41,2.96
2010-12-31,13.07,$4.01,3.26
2010-09-30,11.11,$-1.51,0.0
2010-06-30,10.74,$4.10,2.62
2010-03-31,11.06,$5.02,2.21
2009-12-31,10.04,$1.30,7.72
