Five Star Bancorp Price to Free Cash Flow Ratio Historical Data,Five Star Bancorp Price to Free Cash Flow Ratio Historical Data,Five Star Bancorp Price to Free Cash Flow Ratio Historical Data,Five Star Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.43,,11.23
2024-12-31,30.09,$2.53,11.88
2024-09-30,29.73,$1.46,20.33
2024-06-30,23.65,$1.51,15.65
2024-03-31,22.5,$2.21,10.19
2023-12-31,26.18,$2.23,11.76
2023-09-30,20.06,$3.40,5.9
2023-06-30,22.37,$3.48,6.43
2023-03-31,21.34,$2.49,8.58
2022-12-31,27.24,$2.65,10.28
2022-09-30,28.36,$2.02,14.03
2022-06-30,26.26,$1.04,25.29
2022-03-31,27.97,$2.44,11.47
2021-12-31,29.5,$1.86,15.83
2021-09-30,23.4,$1.42,16.48
