Seaboard Price to Free Cash Flow Ratio Historical Data,Seaboard Price to Free Cash Flow Ratio Historical Data,Seaboard Price to Free Cash Flow Ratio Historical Data,Seaboard Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2711.47,,62.69
2024-12-31,2429.66,$43.25,56.17
2024-09-30,3134.34,$-150.28,0.0
2024-06-30,3155.77,$5.69,554.63
2024-03-31,3216.68,$134.97,23.83
2023-12-31,3559.71,$212.88,16.72
2023-09-30,3739.71,$398.46,9.39
2023-06-30,3545.91,$325.25,10.9
2023-03-31,3752.11,$235.67,15.92
2022-12-31,3755.17,$197.77,18.99
2022-09-30,3382.66,$-85.27,0.0
2022-06-30,3857.64,$-167.96,0.0
2022-03-31,4175.98,$-112.83,0.0
2021-12-31,3905.05,$-283.38,0.0
2021-09-30,4066.48,$-33.59,0.0
2021-06-30,3835.03,$-116.28,0.0
2021-03-31,3655.64,$-42.56,0.0
2020-12-31,3000.73,$31.01,96.77
2020-09-30,2806.57,$-87.79,0.0
2020-06-30,2900.32,$-136.76,0.0
2020-03-31,2778.51,$-121.30,0.0
2019-12-31,4195.98,$-145.80,0.0
2019-09-30,4316.56,$-159.68,0.0
2019-06-30,4079.07,$-40.57,0.0
2019-03-31,4222.71,$-73.98,0.0
2018-12-31,3484.81,$64.90,53.69
2018-09-30,3652.74,$53.74,67.97
2018-06-30,3899.94,$-17.93,0.0
2018-03-31,4195.85,$73.45,57.12
2017-12-31,4336.88,$61.49,70.53
2017-09-30,4428.72,$152.92,28.96
2017-06-30,3925.96,$187.73,20.91
2017-03-31,4095.77,$150.27,27.26
2016-12-31,3880.61,$269.85,14.38
2016-09-30,3377.86,$211.78,15.95
2016-06-30,2818.79,$256.33,11.0
2016-03-31,2948.77,$280.10,10.53
2015-12-31,2842.45,$277.54,10.24
2015-09-30,3023.38,$309.52,9.77
2015-06-30,3533.99,$300.75,11.75
2015-03-31,4057.36,$218.89,18.54
2014-12-31,4122.12,$228.35,18.05
2014-09-30,2626.67,$241.53,10.88
2014-06-30,2965.72,$128.70,23.04
2014-03-31,2574.1,$123.68,20.81
2013-12-31,2744.49,$-8.38,0.0
2013-09-30,2698.36,$-7.36,0.0
2013-06-30,2659.09,$9.87,269.48
2013-03-31,2749.41,$56.78,48.42
2012-12-31,2484.18,$98.72,25.16
2012-09-30,2208.31,$155.55,14.2
2012-06-30,2084.08,$161.65,12.89
2012-03-31,1906.27,$160.60,11.87
2011-12-31,1989.32,$82.91,23.99
2011-09-30,1760.67,$6.01,293.0
2011-06-30,2362.56,$49.57,47.66
2011-03-31,2357.68,$72.67,32.44
2010-12-31,1945.35,$199.45,9.75
2010-09-30,1724.52,$195.78,8.81
2010-06-30,1469.74,$192.25,7.64
2010-03-31,1263.87,$182.99,6.91
2009-12-31,1311.7,$170.04,7.71
