Scotts Miracle-Gro Price to Free Cash Flow Ratio Historical Data,Scotts Miracle-Gro Price to Free Cash Flow Ratio Historical Data,Scotts Miracle-Gro Price to Free Cash Flow Ratio Historical Data,Scotts Miracle-Gro Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,59.32,,6.78
2024-12-31,66.34,$8.75,7.58
2024-09-30,85.97,$10.32,8.33
2024-06-30,63.93,$17.55,3.64
2024-03-31,72.55,$17.20,4.22
2023-12-31,61.32,$9.46,6.48
2023-09-30,49.13,$7.87,6.24
2023-06-30,58.84,$9.28,6.34
2023-03-31,64.8,$7.25,8.94
2022-12-31,44.79,$3.10,14.43
2022-09-30,38.95,$-3.23,0.0
2022-06-30,71.34,$-6.04,0.0
2022-03-31,110.27,$-5.35,0.0
2021-12-31,143.66,$-3.79,0.0
2021-09-30,130.06,$2.88,45.14
2021-06-30,169.83,$3.73,45.52
2021-03-31,216.17,$6.80,31.81
2020-12-31,175.24,$6.83,25.65
2020-09-30,134.07,$8.71,15.39
2020-06-30,113.98,$5.21,21.88
2020-03-31,86.42,$2.17,39.79
2019-12-31,89.17,$1.67,53.47
2019-09-30,85.02,$3.31,25.67
2019-06-30,81.8,$3.78,21.66
2019-03-31,64.85,$3.74,17.36
2018-12-31,50.38,$4.43,11.36
2018-09-30,64.06,$4.89,13.09
2018-06-30,67.17,$3.30,20.36
2018-03-31,68.84,$4.52,15.23
2017-12-31,85.38,$4.74,18.02
2017-09-30,77.26,$4.97,15.54
2017-06-30,70.61,$4.95,14.27
2017-03-31,73.29,$4.98,14.7
2016-12-31,74.59,$5.04,14.79
2016-09-30,64.65,$3.03,21.31
2016-06-30,53.94,$2.25,23.99
2016-03-31,55.77,$3.40,16.42
2015-12-31,49.09,$1.93,25.44
2015-09-30,45.96,$3.07,14.99
2015-06-30,44.4,$2.86,15.52
2015-03-31,50.02,$2.30,21.71
2014-12-31,46.09,$1.47,31.25
2014-09-30,40.38,$2.50,16.12
2014-06-30,40.04,$2.36,17.0
2014-03-31,42.84,$3.24,13.23
2013-12-31,43.16,$4.11,10.5
2013-09-30,37.89,$4.56,8.31
2013-06-30,33.0,$1.79,18.41
2013-03-31,29.14,$2.49,11.73
2012-12-31,29.46,$1.78,16.52
2012-09-30,28.85,$1.36,21.15
2012-06-30,27.08,$2.99,9.07
2012-03-31,35.42,$-0.07,0.0
2011-12-31,30.34,$0.16,188.24
2011-09-30,28.78,$0.75,38.42
2011-06-30,32.9,$0.54,60.64
2011-03-31,36.93,$3.20,11.54
2010-12-31,32.26,$3.14,10.27
2010-09-30,32.71,$3.51,9.33
2010-06-30,27.93,$5.23,5.34
2010-03-31,29.07,$3.34,8.71
2009-12-31,24.57,$0.32,77.45
