Lucid Diagnostics Price to Free Cash Flow Ratio Historical Data,Lucid Diagnostics Price to Free Cash Flow Ratio Historical Data,Lucid Diagnostics Price to Free Cash Flow Ratio Historical Data,Lucid Diagnostics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.57,,0.0
2024-09-30,0.82,$-0.93,0.0
2024-06-30,0.82,$-0.95,0.0
2024-03-31,0.81,$-0.90,0.0
2023-12-31,1.41,$-0.79,0.0
2023-09-30,1.17,$-0.67,0.0
2023-06-30,1.39,$-0.64,0.0
2023-03-31,1.4,$-0.85,0.0
2022-12-31,1.36,$-0.85,0.0
2022-09-30,1.53,$-1.71,0.0
