Myers Industries Price to Free Cash Flow Ratio Historical Data,Myers Industries Price to Free Cash Flow Ratio Historical Data,Myers Industries Price to Free Cash Flow Ratio Historical Data,Myers Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.52,,8.5
2024-12-31,11.04,$1.47,7.49
2024-09-30,13.66,$1.25,10.91
2024-06-30,13.1,$1.46,8.95
2024-03-31,22.47,$1.65,13.59
2023-12-31,18.84,$1.71,10.99
2023-09-30,17.15,$1.81,9.49
2023-06-30,18.44,$1.59,11.62
2023-03-31,20.2,$1.72,11.75
2022-12-31,20.81,$1.36,15.35
2022-09-30,15.33,$1.72,8.93
2022-06-30,21.0,$1.08,19.52
2022-03-31,19.83,$0.89,22.31
2021-12-31,18.25,$0.84,21.84
2021-09-30,17.72,$0.36,48.87
2021-06-30,18.89,$1.19,15.92
2021-03-31,17.66,$0.89,19.9
2020-12-31,18.45,$0.92,20.03
2020-09-30,11.66,$0.71,16.45
2020-06-30,12.71,$0.88,14.52
2020-03-31,9.3,$1.12,8.3
2019-12-31,14.27,$1.45,9.86
2019-09-30,14.97,$1.95,7.67
2019-06-30,16.22,$1.64,9.89
2019-03-31,14.3,$1.77,8.08
2018-12-31,12.53,$1.76,7.13
2018-09-30,19.12,$1.52,12.57
2018-06-30,15.7,$1.73,9.08
2018-03-31,17.18,$1.56,11.0
2017-12-31,15.74,$1.63,9.68
2017-09-30,16.81,$1.75,9.6
2017-06-30,14.3,$1.93,7.41
2017-03-31,12.53,$1.80,6.97
2016-12-31,11.2,$0.72,15.47
2016-09-30,10.08,$1.50,6.72
2016-06-30,11.07,$0.88,12.64
2016-03-31,9.79,$0.96,10.18
2015-12-31,10.04,$0.56,18.05
2015-09-30,10.01,$0.62,16.16
2015-06-30,14.05,$0.54,25.94
2015-03-31,12.87,$1.29,10.0
2014-12-31,12.83,$0.46,27.8
2014-09-30,12.75,$0.38,33.7
2014-06-30,14.43,$0.69,20.83
2014-03-31,14.21,$0.68,20.8
2013-12-31,14.98,$2.21,6.77
2013-09-30,14.2,$1.97,7.2
2013-06-30,10.55,$1.92,5.48
2013-03-31,9.75,$1.21,8.09
2012-12-31,10.52,$1.29,8.16
2012-09-30,10.79,$0.73,14.82
2012-06-30,11.79,$1.20,9.81
2012-03-31,10.09,$1.09,9.27
2011-12-31,8.39,$1.25,6.73
2011-09-30,6.86,$1.52,4.5
2011-06-30,6.9,$1.14,6.08
2011-03-31,6.62,$1.05,6.29
2010-12-31,6.44,$0.86,7.51
2010-09-30,5.65,$1.02,5.52
2010-06-30,5.26,$0.87,6.03
2010-03-31,6.77,$1.66,4.06
2009-12-31,5.84,$1.84,3.18
