Papaya Growth Opportunity I Price to Free Cash Flow Ratio Historical Data,Papaya Growth Opportunity I Price to Free Cash Flow Ratio Historical Data,Papaya Growth Opportunity I Price to Free Cash Flow Ratio Historical Data,Papaya Growth Opportunity I Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-01-22,11.4,,0.0
2024-09-30,11.07,$-0.04,0.0
2024-06-30,11.75,$-0.14,0.0
2024-03-31,10.83,$-0.57,0.0
2023-12-31,10.78,$-0.58,0.0
2023-09-30,10.68,$-0.60,0.0
2023-06-30,10.6,$-0.55,0.0
2023-03-31,10.4,$-0.25,0.0
2022-12-31,10.22,$-0.27,0.0
