Paranovus Entertainment Technology Price to Free Cash Flow Ratio Historical Data,Paranovus Entertainment Technology Price to Free Cash Flow Ratio Historical Data,Paranovus Entertainment Technology Price to Free Cash Flow Ratio Historical Data,Paranovus Entertainment Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.36,,inf
2024-03-31,1.81,0.0,0.0
2023-03-31,5.12,0.0,0.0
2022-09-30,0.15,0.0,0.0
2022-03-31,0.29,0.0,0.0
2021-09-30,0.97,0.0,0.0
