First Internet Bancorp Price to Free Cash Flow Ratio Historical Data,First Internet Bancorp Price to Free Cash Flow Ratio Historical Data,First Internet Bancorp Price to Free Cash Flow Ratio Historical Data,First Internet Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.81,,23.44
2024-12-31,35.99,$1.19,30.34
2024-09-30,34.26,$3.30,10.4
2024-06-30,26.97,$3.66,7.38
2024-03-31,34.6,$0.57,60.68
2023-12-31,24.05,$0.71,33.75
2023-09-30,16.08,$-0.08,0.0
2023-06-30,14.68,$1.82,8.04
2023-03-31,16.39,$5.02,3.27
2022-12-31,23.82,$6.80,3.5
2022-09-30,33.13,$6.69,4.95
2022-06-30,35.97,$3.79,9.48
2022-03-31,41.94,$2.89,14.49
2021-12-31,45.81,$3.31,13.82
2021-09-30,30.33,$7.08,4.29
2021-06-30,30.07,$4.87,6.18
2021-03-31,34.13,$4.43,7.7
2020-12-31,27.8,$-1.27,0.0
2020-09-30,14.22,$-5.78,0.0
2020-06-30,15.98,$-3.72,0.0
2020-03-31,15.73,$-7.23,0.0
2019-12-31,22.63,$-4.75,0.0
2019-09-30,20.38,$-3.76,0.0
2019-06-30,20.45,$-2.39,0.0
2019-03-31,18.3,$0.49,37.31
2018-12-31,19.29,$2.85,6.76
2018-09-30,28.65,$1.63,17.62
2018-06-30,32.02,$3.09,10.37
2018-03-31,34.68,$1.89,18.35
2017-12-31,35.7,$3.23,11.05
2017-09-30,30.18,$6.02,5.01
2017-06-30,26.16,$6.99,3.74
2017-03-31,27.45,$5.80,4.74
2016-12-31,29.72,$4.45,6.68
2016-09-30,21.41,$0.86,24.99
2016-06-30,22.03,$-0.73,0.0
2016-03-31,21.55,$1.39,15.46
2015-12-31,26.39,$1.84,14.37
2015-09-30,29.33,$2.20,13.35
2015-06-30,22.45,$-0.39,0.0
2015-03-31,16.98,$-0.64,0.0
2014-12-31,15.25,$0.24,64.57
2014-09-30,14.63,$-3.27,0.0
2014-06-30,18.63,$7.28,2.56
2014-03-31,20.53,$10.26,2.0
2013-12-31,20.24,$11.26,1.8
2013-09-30,23.89,$14.05,1.7
2013-06-30,18.8,$-0.90,0.0
2013-03-31,15.23,$-7.15,0.0
2012-12-31,12.46,$-2.08,0.0
2012-09-30,9.38,$-0.39,0.0
2012-06-30,8.24,$5.28,1.56
2012-03-31,7.91,$9.08,0.87
2011-12-31,5.48,0,0.0
2011-06-30,6.01,0,0.0
2011-03-31,6.04,0,0.0
2010-12-31,6.45,0,0.0
2010-09-30,7.33,0,0.0
2010-06-30,5.86,0,0.0
2010-03-31,4.16,0,0.0
2009-12-31,3.9,0,0.0
