Vasta Platform Price to Free Cash Flow Ratio Historical Data,Vasta Platform Price to Free Cash Flow Ratio Historical Data,Vasta Platform Price to Free Cash Flow Ratio Historical Data,Vasta Platform Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.48,,8.29
2024-09-30,2.63,$0.42,6.26
2024-06-30,3.05,$0.31,9.85
2024-03-31,4.03,$0.54,7.49
2023-12-31,4.46,$0.48,9.28
2023-09-30,4.13,$0.34,12.3
2023-06-30,3.35,$0.29,11.64
2023-03-31,3.19,$0.29,11.04
2022-12-31,4.0,$0.26,15.19
2022-09-30,5.25,$0.16,32.27
2022-06-30,4.77,$0.20,24.35
2022-03-31,5.72,$-0.21,0.0
2021-12-31,4.23,$-0.10,0.0
2021-09-30,4.56,$0.03,178.13
2021-06-30,8.12,$0.02,446.15
