TNF Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,TNF Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,TNF Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,TNF Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.36,,0.0
2024-09-30,1.62,$-10.40,0.0
2024-06-30,1.84,$-4.84,0.0
2024-03-31,2.39,$-6.46,0.0
2023-12-31,7.76,$-8.42,0.0
2023-09-30,17.76,$0.49,36.58
2023-06-30,45.0,$-10.42,0.0
2023-03-31,51.6,$-10.47,0.0
2022-12-31,34.5,$-9.48,0.0
2022-09-30,78.3,$-16.38,0.0
2022-06-30,65.1,$-14.48,0.0
2022-03-31,139.8,$-17.02,0.0
2021-12-31,181.8,$-16.74,0.0
2021-09-30,216.0,$-13.07,0.0
2021-06-30,189.0,$-9.59,0.0
2021-03-31,193.2,$46.49,4.16
2020-12-31,119.4,$-4.97,0.0
2020-09-30,135.0,$-19.24,0.0
2020-06-30,208.8,$-117.45,0.0
2020-03-31,128.1,$-270.62,0.0
2019-12-31,192.0,$-300.76,0.0
2019-09-30,633.6,$-616.85,0.0
2019-06-30,648.0,$-766.16,0.0
2019-03-31,1396.8,$-844.53,0.0
2018-12-31,1627.2,"$-1,056.96",0.0
2018-09-30,3271.68,$-726.32,0.0
2018-06-30,4460.54,$-480.48,0.0
2018-03-31,9560.45,$-299.77,0.0
2017-12-31,1543.68,$-4.39,0.0
2017-09-30,9331.2,$-3.46,0.0
2017-06-30,14400.0,$-0.63,0.0
2017-03-31,20736.0,$-0.69,0.0
2016-12-31,21888.0,$-0.79,0.0
2016-09-30,38694.52,$-0.89,0.0
2016-06-30,37094.4,$-0.90,0.0
2016-03-31,19353.6,$-1.10,0.0
2015-12-31,13939.2,$-1.02,0.0
2015-09-30,36288.0,$-1.05,0.0
2015-06-30,50112.0,$-1.04,0.0
2015-03-31,48844.8,$-0.88,0.0
2014-12-31,45964.8,$-0.82,0.0
