C.H Robinson Worldwide Price to Free Cash Flow Ratio Historical Data,C.H Robinson Worldwide Price to Free Cash Flow Ratio Historical Data,C.H Robinson Worldwide Price to Free Cash Flow Ratio Historical Data,C.H Robinson Worldwide Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,99.3,,24.64
2024-12-31,103.32,$4.03,25.63
2024-09-30,109.72,$2.19,50.11
2024-06-30,87.07,$3.04,28.65
2024-03-31,74.71,$3.50,21.36
2023-12-31,84.07,$5.88,14.31
2023-09-30,83.2,$11.51,7.23
2023-06-30,90.53,$14.68,6.17
2023-03-31,94.74,$15.18,6.24
2022-12-31,86.77,$12.99,6.68
2022-09-30,90.71,$7.50,12.09
2022-06-30,95.02,$1.99,47.66
2022-03-31,100.45,$0.75,134.42
2021-12-31,99.84,$0.45,219.92
2021-09-30,80.28,$1.15,69.78
2021-06-30,85.95,$0.48,177.25
2021-03-31,87.1,$2.71,32.19
2020-12-31,85.21,$3.54,24.09
2020-09-30,92.25,$3.79,24.35
2020-06-30,71.0,$6.26,11.33
2020-03-31,59.09,$4.39,13.47
2019-12-31,69.27,$5.80,11.94
2019-09-30,74.6,$6.15,12.12
2019-06-30,73.78,$6.46,11.42
2019-03-31,75.61,$5.78,13.09
2018-12-31,72.69,$5.33,13.65
2018-09-30,84.15,$4.63,18.18
2018-06-30,71.55,$3.59,19.93
2018-03-31,79.73,$3.21,24.83
2017-12-31,75.41,$2.43,31.0
2017-09-30,64.07,$2.26,28.29
2017-06-30,57.47,$2.59,22.23
2017-03-31,64.25,$3.11,20.64
2016-12-31,60.56,$3.19,18.99
2016-09-30,57.89,$3.92,14.77
2016-06-30,60.63,$4.60,13.19
2016-03-31,60.27,$4.72,12.76
2015-12-31,50.05,$4.75,10.54
2015-09-30,54.28,$4.46,12.18
2015-06-30,49.73,$4.21,11.82
2015-03-31,58.02,$3.97,14.63
2014-12-31,59.04,$3.33,17.74
2014-09-30,52.01,$2.92,17.83
2014-06-30,49.76,$2.47,20.11
2014-03-31,40.63,$2.40,16.96
2013-12-31,44.95,$1.96,22.97
2013-09-30,45.62,$2.12,21.5
2013-06-30,42.85,$2.30,18.64
2013-03-31,44.97,$1.79,25.1
2012-12-31,47.52,$2.62,18.14
2012-09-30,43.78,$2.20,19.94
2012-06-30,43.49,$2.56,17.02
2012-03-31,48.39,$2.52,19.21
2011-12-31,51.31,$2.39,21.46
2011-09-30,50.1,$2.91,17.24
2011-06-30,57.45,$2.37,24.29
2011-03-31,53.82,$2.25,23.94
2010-12-31,57.98,$1.97,29.42
2010-09-30,50.18,$1.48,33.82
2010-06-30,39.8,$1.63,24.38
2010-03-31,39.76,$1.75,22.68
2009-12-31,41.62,$2.02,20.58
