Denny's Price to Free Cash Flow Ratio Historical Data,Denny's Price to Free Cash Flow Ratio Historical Data,Denny's Price to Free Cash Flow Ratio Historical Data,Denny's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.02,,92.2
2024-12-31,6.05,$0.04,138.76
2024-09-30,6.45,$0.39,16.65
2024-06-30,7.1,$0.65,11.01
2024-03-31,8.96,$0.81,11.1
2023-12-31,10.88,$1.16,9.36
2023-09-30,8.47,$1.06,7.95
2023-06-30,12.32,$1.08,11.42
2023-03-31,11.16,$0.96,11.61
2022-12-31,9.21,$0.52,17.66
2022-09-30,9.41,$1.23,7.67
2022-06-30,8.68,$1.24,7.02
2022-03-31,14.31,$1.51,9.49
2021-12-31,16.0,$1.81,8.82
2021-09-30,16.34,$1.09,14.97
2021-06-30,16.49,$0.81,20.27
2021-03-31,18.11,$0.16,115.35
2020-12-31,14.68,$-0.01,0.0
2020-09-30,10.0,$0.10,103.31
2020-06-30,10.1,$1.21,8.32
2020-03-31,7.68,$2.10,3.65
2019-12-31,19.88,$2.39,8.32
2019-09-30,22.77,$2.32,9.83
2019-06-30,20.53,$1.42,14.49
2019-03-31,18.35,$1.08,16.94
2018-12-31,16.21,$0.68,23.99
2018-09-30,14.72,$0.69,21.26
2018-06-30,15.93,$0.60,26.77
2018-03-31,15.43,$0.49,31.23
2017-12-31,13.24,$0.70,18.86
2017-09-30,12.45,$0.58,21.61
2017-06-30,11.77,$0.65,18.24
2017-03-31,12.37,$0.50,24.92
2016-12-31,12.83,$0.51,25.36
2016-09-30,10.69,$0.54,19.76
2016-06-30,10.73,$0.51,20.94
2016-03-31,10.36,$0.60,17.37
2015-12-31,9.83,$0.60,16.46
2015-09-30,11.03,$0.70,15.81
2015-06-30,11.61,$0.71,16.29
2015-03-31,11.4,$0.61,18.82
2014-12-31,10.31,$0.59,17.33
2014-09-30,7.03,$0.40,17.61
2014-06-30,6.52,$0.43,15.05
2014-03-31,6.43,$0.48,13.54
2013-12-31,7.19,$0.45,15.98
2013-09-30,6.11,$0.51,12.06
2013-06-30,5.62,$0.47,11.94
2013-03-31,5.78,$0.57,10.17
2012-12-31,4.88,$0.63,7.79
2012-09-30,4.84,$0.65,7.43
2012-06-30,4.42,$0.68,6.48
2012-03-31,4.04,$0.52,7.83
2011-12-31,3.76,$0.52,7.2
2011-09-30,3.33,$0.40,8.25
2011-06-30,3.88,$0.41,9.36
2011-03-31,4.06,$0.29,14.11
2010-12-31,3.58,$0.29,12.28
2010-09-30,3.11,$0.48,6.43
2010-06-30,2.6,$0.51,5.08
2010-03-31,3.85,$0.63,6.09
2009-12-31,2.19,$0.56,3.89
