Fortune Brands Innovations Price to Free Cash Flow Ratio Historical Data,Fortune Brands Innovations Price to Free Cash Flow Ratio Historical Data,Fortune Brands Innovations Price to Free Cash Flow Ratio Historical Data,Fortune Brands Innovations Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,63.01,,15.8
2024-12-31,68.33,$3.99,17.13
2024-09-30,89.25,$3.25,27.48
2024-06-30,64.55,$3.93,16.44
2024-03-31,83.87,$4.95,16.94
2023-12-31,75.2,$6.28,11.97
2023-09-30,61.18,$6.75,9.06
2023-06-30,70.57,$6.09,11.58
2023-03-31,57.39,$4.51,12.72
2022-12-31,55.6,$2.50,22.23
2022-09-30,52.05,$2.06,25.21
2022-06-30,57.81,$1.50,38.54
2022-03-31,71.43,$2.32,30.73
2021-12-31,102.45,$3.42,30.0
2021-09-30,85.49,$3.97,21.55
2021-06-30,94.99,$4.66,20.39
2021-03-31,91.15,$4.45,20.5
2020-12-31,81.29,$4.83,16.84
2020-09-30,81.81,$4.80,17.05
2020-06-30,60.28,$4.76,12.67
2020-03-31,40.62,$4.14,9.82
2019-12-31,61.13,$3.61,16.95
2019-09-30,51.01,$3.44,14.81
2019-06-30,53.04,$3.09,17.15
2019-03-31,44.01,$2.92,15.1
2018-12-31,34.96,$3.14,11.13
2018-09-30,48.18,$2.80,17.21
2018-06-30,49.22,$2.57,19.18
2018-03-31,53.8,$2.52,21.38
2017-12-31,62.33,$2.80,22.29
2017-09-30,61.05,$3.10,19.73
2017-06-30,59.08,$3.34,17.7
2017-03-31,54.95,$3.21,17.12
2016-12-31,48.12,$3.20,15.03
2016-09-30,52.15,$2.43,21.44
2016-06-30,51.9,$2.43,21.37
2016-03-31,50.04,$2.11,23.75
2015-12-31,49.4,$1.86,26.56
2015-09-30,42.15,$1.85,22.79
2015-06-30,40.56,$1.31,30.98
2015-03-31,41.9,$1.32,31.86
2014-12-31,39.84,$0.84,47.53
2014-09-30,36.08,$0.70,51.55
2014-06-30,34.95,$0.64,54.97
2014-03-31,36.72,$0.66,55.71
2013-12-31,39.77,$1.19,33.51
2013-09-30,36.15,$1.48,24.49
2013-06-30,33.55,$1.26,26.58
2013-03-31,32.34,$1.15,28.06
2012-12-31,25.25,$1.33,18.95
2012-09-30,23.34,$1.32,17.64
2012-06-30,19.24,$0.87,22.14
