SelectQuote Price to Free Cash Flow Ratio Historical Data,SelectQuote Price to Free Cash Flow Ratio Historical Data,SelectQuote Price to Free Cash Flow Ratio Historical Data,SelectQuote Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.81,,63.61
2024-12-31,3.72,$0.06,62.1
2024-09-30,2.17,$0.06,33.75
2024-06-30,2.76,$0.02,121.59
2024-03-31,2.0,$-0.13,0.0
2023-12-31,1.37,$-0.01,0.0
2023-09-30,1.17,$-0.03,0.0
2023-06-30,1.95,$-0.17,0.0
2023-03-31,2.17,$-0.46,0.0
2022-12-31,0.67,$-0.75,0.0
2022-09-30,0.73,$-1.98,0.0
2022-06-30,2.48,$-2.27,0.0
2022-03-31,2.79,$-2.32,0.0
2021-12-31,9.06,$-2.16,0.0
2021-09-30,12.93,$-1.35,0.0
2021-06-30,19.26,$-0.84,0.0
2021-03-31,29.51,$-0.95,0.0
