SurgePays Price to Free Cash Flow Ratio Historical Data,SurgePays Price to Free Cash Flow Ratio Historical Data,SurgePays Price to Free Cash Flow Ratio Historical Data,SurgePays Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.35,,0.0
2024-09-30,1.84,$-0.57,0.0
2024-06-30,3.19,$0.67,4.76
2024-03-31,3.85,$0.70,5.5
2023-12-31,6.45,$0.67,9.62
2023-09-30,4.68,$0.90,5.17
2023-06-30,7.31,$0.29,25.58
2023-03-31,4.49,$0.47,9.55
2022-12-31,6.56,$0.01,0.0
2022-09-30,4.55,$-3.84,0.0
