Ashford Hospitality Trust Inc Price to Free Cash Flow Ratio Historical Data,Ashford Hospitality Trust Inc Price to Free Cash Flow Ratio Historical Data,Ashford Hospitality Trust Inc Price to Free Cash Flow Ratio Historical Data,Ashford Hospitality Trust Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.3,,0.34
2024-09-30,7.48,$21.35,0.35
2024-06-30,9.72,$-12.57,0.0
2024-03-31,13.7,$-25.27,0.0
2023-12-31,19.4,$-27.18,0.0
2023-09-30,23.9,$-24.61,0.0
2023-06-30,37.3,$-10.97,0.0
2023-03-31,32.1,$-5.05,0.0
2022-12-31,44.7,$-8.60,0.0
2022-09-30,68.1,$-32.32,0.0
2022-06-30,59.8,$-4.81,0.0
2022-03-31,102.0,$23.40,4.36
2021-12-31,96.0,$-78.70,0.0
2021-09-30,147.2,$-176.38,0.0
2021-06-30,456.0,$-200.04,0.0
2021-03-31,295.0,"$-1,070.66",0.0
2020-12-31,259.0,$-996.03,0.0
2020-09-30,165.0,$-773.66,0.0
2020-06-30,722.6,$99.01,7.3
2020-03-31,739.2,"$1,233.27",0.6
2019-12-31,2790.0,"$1,209.07",2.31
2019-09-30,3198.89,"$1,136.89",2.81
2019-06-30,2821.38,$584.70,4.83
2019-03-31,4421.46,$476.38,9.28
2018-12-31,3635.38,$152.80,23.79
2018-09-30,5635.02,$-168.07,0.0
2018-06-30,7009.05,$-608.94,0.0
2018-03-31,5506.29,$565.51,9.74
2017-12-31,5631.66,$952.55,5.91
2017-09-30,5484.94,$574.34,9.55
2017-06-30,4911.92,"$1,158.87",4.24
2017-03-31,5049.11,"$1,543.22",3.27
2016-12-31,6036.26,"$1,667.31",3.62
2016-09-30,4510.52,"$1,730.65",2.61
2016-06-30,4032.07,"$1,454.28",2.77
2016-03-31,4679.24,$-76.39,0.0
2015-12-31,4535.65,$313.96,14.45
2015-09-30,4305.93,$997.56,4.32
2015-06-30,5859.51,$568.12,10.31
2015-03-31,6569.76,$335.61,19.58
2014-12-31,7068.99,$-99.98,0.0
2014-09-30,6438.55,$-5.11,0.0
2014-06-30,7188.22,$-366.45,0.0
2014-03-31,6945.23,$755.88,9.19
2013-12-31,5047.9,$662.98,7.61
2013-09-30,4939.93,$972.20,5.08
2013-06-30,4554.39,"$2,138.03",2.13
2013-03-31,4881.73,"$1,853.43",2.63
2012-12-31,4124.12,"$2,049.01",2.01
2012-09-30,3274.07,"$2,685.87",1.22
2012-06-30,3258.06,"$1,266.12",2.57
2012-03-31,3452.78,"$1,857.37",1.86
2011-12-31,3042.58,"$3,689.96",0.82
2011-09-30,2646.73,"$2,407.12",1.1
2011-06-30,4649.59,"$3,149.37",1.48
2011-03-31,4093.51,"$2,370.65",1.73
2010-12-31,3550.89,$495.42,7.17
2010-09-30,3330.11,$449.00,7.42
2010-06-30,2697.2,"$1,383.22",1.95
2010-03-31,2638.33,$706.86,3.73
2009-12-31,1707.37,$969.02,1.76
