BankFinancial Price to Free Cash Flow Ratio Historical Data,BankFinancial Price to Free Cash Flow Ratio Historical Data,BankFinancial Price to Free Cash Flow Ratio Historical Data,BankFinancial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.06,,27.72
2024-09-30,12.08,$0.47,25.65
2024-06-30,10.12,$0.62,16.38
2024-03-31,10.23,$0.86,11.83
2023-12-31,9.9,$0.64,15.54
2023-09-30,8.22,$1.00,8.23
2023-06-30,7.71,$0.98,7.91
2023-03-31,8.14,$0.99,8.18
2022-12-31,9.7,$0.56,17.25
2022-09-30,8.63,$0.29,29.87
2022-06-30,8.48,$-0.11,0.0
2022-03-31,9.26,$-0.20,0.0
2021-12-31,9.45,$0.39,24.4
2021-09-30,10.08,$0.29,34.25
2021-06-30,9.95,$0.50,20.09
2021-03-31,8.9,$0.70,12.63
2020-12-31,7.49,$0.77,9.73
2020-09-30,6.08,$0.95,6.4
2020-06-30,6.99,$1.28,5.47
2020-03-31,7.24,$1.33,5.44
2019-12-31,10.66,$1.32,8.08
2019-09-30,9.63,$1.16,8.29
2019-06-30,11.23,$0.96,11.72
2019-03-31,11.85,$1.22,9.72
2018-12-31,11.84,$1.41,8.4
2018-09-30,12.54,$1.54,8.16
2018-06-30,13.79,$1.62,8.52
2018-03-31,13.2,$1.21,10.91
2017-12-31,11.86,$1.18,10.04
2017-09-30,12.22,$1.07,11.38
2017-06-30,11.43,$0.96,11.88
2017-03-31,11.07,$0.87,12.66
2016-12-31,11.25,$0.96,11.74
2016-09-30,9.6,$0.77,12.51
2016-06-30,9.02,$0.70,12.82
2016-03-31,8.86,$0.81,10.89
2015-12-31,9.43,$0.72,13.1
2015-09-30,9.25,$0.76,12.18
2015-06-30,8.71,$0.85,10.26
2015-03-31,9.68,$0.92,10.52
2014-12-31,8.71,$0.83,10.54
2014-09-30,7.6,$0.67,11.28
2014-06-30,8.14,$0.59,13.73
2014-03-31,7.27,$0.44,16.49
2013-12-31,6.67,$0.49,13.68
2013-09-30,6.43,$0.58,11.18
2013-06-30,6.18,$0.66,9.4
2013-03-31,5.87,$0.67,8.75
2012-12-31,5.38,$0.74,7.29
2012-09-30,6.38,$0.87,7.36
2012-06-30,5.46,$0.75,7.24
2012-03-31,4.78,$0.82,5.86
2011-12-31,3.99,$0.89,4.48
2011-09-30,4.79,$0.82,5.82
2011-06-30,6.05,$1.43,4.23
2011-03-31,6.51,$1.26,5.15
2010-12-31,6.86,$1.21,5.66
2010-09-30,6.4,$1.09,5.89
2010-06-30,5.76,$0.63,9.09
2010-03-31,6.31,$0.68,9.26
2009-12-31,6.76,$0.57,11.92
