Navient Price to Free Cash Flow Ratio Historical Data,Navient Price to Free Cash Flow Ratio Historical Data,Navient Price to Free Cash Flow Ratio Historical Data,Navient Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.54,,3.27
2024-12-31,13.29,$4.14,3.21
2024-09-30,15.43,$6.65,2.32
2024-06-30,14.26,$7.66,1.86
2024-03-31,16.86,$5.98,2.82
2023-12-31,17.87,$5.50,3.25
2023-09-30,16.37,$4.45,3.68
2023-06-30,17.5,$3.87,4.53
2023-03-31,14.91,$3.95,3.78
2022-12-31,15.2,$2.12,7.18
2022-09-30,13.45,$1.58,8.52
2022-06-30,12.67,$2.39,5.3
2022-03-31,15.28,$2.40,6.36
2021-12-31,18.85,$4.08,4.62
2021-09-30,17.39,$4.05,4.29
2021-06-30,16.92,$3.90,4.34
2021-03-31,12.42,$3.76,3.3
2020-12-31,8.42,$5.06,1.66
2020-09-30,7.12,$4.93,1.44
2020-06-30,5.82,$5.23,1.11
2020-03-31,6.16,$5.88,1.05
2019-12-31,10.95,$4.37,2.5
2019-09-30,10.13,$5.48,1.85
2019-06-30,10.66,$4.72,2.26
2019-03-31,8.93,$4.02,2.22
2018-12-31,6.71,$4.32,1.55
2018-09-30,10.12,$3.27,3.1
2018-06-30,9.67,$3.70,2.61
2018-03-31,9.62,$3.97,2.42
2017-12-31,9.65,$4.12,2.34
2017-09-30,10.75,$3.99,2.69
2017-06-30,11.77,$4.04,2.91
2017-03-31,10.32,$4.39,2.35
2016-12-31,11.37,$4.18,2.72
2016-09-30,9.92,$4.63,2.14
2016-06-30,8.1,$4.62,1.75
2016-03-31,8.02,$4.77,1.68
2015-12-31,7.56,$5.00,1.51
2015-09-30,7.33,$3.99,1.84
2015-06-30,11.72,$4.05,2.89
2015-03-31,12.97,$5.15,2.52
