Trane Technologies Price to Free Cash Flow Ratio Historical Data,Trane Technologies Price to Free Cash Flow Ratio Historical Data,Trane Technologies Price to Free Cash Flow Ratio Historical Data,Trane Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,349.33,,28.7
2024-12-31,369.35,$12.17,30.35
2024-09-30,388.73,$12.50,31.09
2024-06-30,328.12,$10.80,30.37
2024-03-31,299.46,$10.10,29.64
2023-12-31,243.3,$9.09,26.75
2023-09-30,202.41,$8.26,24.51
2023-06-30,190.1,$6.55,29.01
2023-03-31,182.04,$6.01,30.27
2022-12-31,166.32,$5.20,31.97
2022-09-30,143.28,$3.71,38.65
2022-06-30,128.5,$3.31,38.8
2022-03-31,150.37,$3.70,40.65
2021-12-31,198.94,$5.70,34.92
2021-09-30,170.01,$6.65,25.55
2021-06-30,181.32,$8.82,20.56
2021-03-31,162.51,$7.69,21.14
2020-12-31,141.94,$5.30,26.77
