"Perimeter Solutions, SA Price to Free Cash Flow Ratio Historical Data","Perimeter Solutions, SA Price to Free Cash Flow Ratio Historical Data","Perimeter Solutions, SA Price to Free Cash Flow Ratio Historical Data","Perimeter Solutions, SA Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.3,,7.84
2024-12-31,12.78,$1.19,10.77
2024-09-30,13.45,$1.32,10.17
2024-06-30,7.83,$0.44,17.64
2024-03-31,7.42,$0.15,48.18
2023-12-31,4.6,$-0.06,0.0
2023-09-30,4.54,$-0.10,0.0
2023-06-30,6.15,$-0.21,0.0
2023-03-31,8.08,$-0.07,0.0
2022-12-31,9.14,$-0.28,0.0
2022-09-30,8.01,$0.12,66.81
