TriSalus Life Sciences Price to Free Cash Flow Ratio Historical Data,TriSalus Life Sciences Price to Free Cash Flow Ratio Historical Data,TriSalus Life Sciences Price to Free Cash Flow Ratio Historical Data,TriSalus Life Sciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.38,,0.0
2024-09-30,4.61,$-3.57,0.0
2024-06-30,5.52,$37.93,0.15
2024-03-31,9.75,$-5.21,0.0
2023-12-31,8.45,$-5.39,0.0
2023-09-30,5.12,$-31.09,0.0
2023-06-30,10.48,$-150.51,0.0
2023-03-31,10.2,$-106.93,0.0
2022-12-31,10.03,$-106.35,0.0
2022-09-30,9.93,$-78.53,0.0
2022-06-30,9.85,$-0.35,0.0
2022-03-31,9.8,$-0.31,0.0
2021-12-31,9.88,$-0.28,0.0
