Paramount Global Price to Free Cash Flow Ratio Historical Data,Paramount Global Price to Free Cash Flow Ratio Historical Data,Paramount Global Price to Free Cash Flow Ratio Historical Data,Paramount Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.93,,16.2
2024-12-31,10.46,$0.74,14.2
2024-09-30,10.57,$1.15,9.19
2024-06-30,10.29,$1.38,7.43
2024-03-31,11.6,$1.23,9.4
2023-12-31,14.51,$0.23,64.36
2023-09-30,12.62,$-0.64,0.0
2023-06-30,15.51,$-1.72,0.0
2023-03-31,21.68,$-1.43,0.0
2022-12-31,16.21,$-0.21,0.0
2022-09-30,18.06,$-1.12,0.0
2022-06-30,23.16,$-0.91,0.0
2022-03-31,35.14,$-1.19,0.0
2021-12-31,27.86,$0.91,30.47
2021-09-30,36.18,$1.56,23.2
2021-06-30,41.14,$4.03,10.21
2021-03-31,40.82,$5.32,7.67
2020-12-31,33.64,$3.19,10.55
2020-09-30,25.11,$2.91,8.62
2020-06-30,20.74,$1.39,14.91
2020-03-31,12.33,$0.53,23.16
2019-12-31,36.41,$1.43,25.38
2019-09-30,34.82,$4.50,7.74
2019-06-30,42.87,$4.14,10.34
2019-03-31,40.68,$4.64,8.77
2018-12-31,37.28,$5.02,7.42
2018-09-30,48.81,$3.92,12.46
2018-06-30,47.62,$3.67,12.97
2018-03-31,43.37,$3.34,13.0
2017-12-31,49.63,$3.22,15.41
2017-09-30,48.63,$2.80,17.37
2017-06-30,53.32,$2.85,18.72
2017-03-31,57.81,$2.85,20.32
2016-12-31,52.89,$3.32,15.91
2016-09-30,45.38,$4.11,11.05
2016-06-30,44.98,$3.45,13.04
2016-03-31,45.39,$3.85,11.78
2015-12-31,38.72,$2.50,15.48
2015-09-30,32.68,$2.70,12.09
2015-06-30,45.3,$2.65,17.09
2015-03-31,49.36,$1.96,25.21
2014-12-31,44.94,$1.96,22.98
2014-09-30,43.32,$1.03,41.96
2014-06-30,50.19,$2.04,24.58
2014-03-31,49.82,$2.58,19.28
2013-12-31,51.29,$2.66,19.27
2013-09-30,44.3,$2.36,18.76
2013-06-30,39.16,$2.25,17.4
2013-03-31,37.32,$2.40,15.54
2012-12-31,30.33,$2.45,12.38
2012-09-30,28.87,$1.99,14.51
2012-06-30,25.96,$1.80,14.43
2012-03-31,26.77,$1.89,14.14
2011-12-31,21.36,$2.21,9.67
2011-09-30,15.98,$2.36,6.76
2011-06-30,22.24,$2.66,8.37
2011-03-31,19.47,$2.39,8.15
2010-12-31,14.78,$2.13,6.93
2010-09-30,12.27,$2.47,4.98
2010-06-30,9.97,$2.28,4.38
2010-03-31,10.71,$2.11,5.08
2009-12-31,10.76,$0.99,10.85
