Interactive Brokers Price to Free Cash Flow Ratio Historical Data,Interactive Brokers Price to Free Cash Flow Ratio Historical Data,Interactive Brokers Price to Free Cash Flow Ratio Historical Data,Interactive Brokers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,175.86,,2.21
2024-12-31,176.67,$79.59,2.22
2024-09-30,139.18,$85.07,1.64
2024-06-30,122.2,$61.53,1.99
2024-03-31,111.13,$66.95,1.66
2023-12-31,82.39,$42.47,1.94
2023-09-30,85.92,$19.94,4.31
2023-06-30,82.36,$34.06,2.42
2023-03-31,81.75,$8.23,9.93
2022-12-31,71.56,$38.49,1.86
2022-09-30,63.13,$27.16,2.32
2022-06-30,54.25,$13.96,3.89
2022-03-31,64.9,$33.60,1.93
2021-12-31,78.08,$52.84,1.48
2021-09-30,61.21,$120.11,0.51
2021-06-30,64.44,$107.44,0.6
2021-03-31,71.5,$72.97,0.98
2020-12-31,59.55,$99.43,0.6
2020-09-30,47.15,$49.87,0.95
2020-06-30,40.68,$54.07,0.75
2020-03-31,41.94,$93.07,0.45
2019-12-31,45.2,$33.74,1.34
2019-09-30,53.98,$22.22,2.43
2019-06-30,53.88,$28.48,1.89
2019-03-31,53.78,$22.38,2.4
2018-12-31,53.69,$31.24,1.72
2018-09-30,53.14,$19.33,2.75
2018-06-30,61.78,$21.00,2.94
2018-03-31,64.41,$19.90,3.24
2017-12-31,56.64,$14.63,3.87
2017-09-30,43.01,$39.34,1.09
2017-06-30,35.64,$31.56,1.13
2017-03-31,32.98,$18.45,1.79
2016-12-31,34.59,$9.03,3.83
2016-09-30,33.32,$3.04,10.95
2016-06-30,33.35,$13.04,2.56
2016-03-31,36.95,$16.75,2.21
2015-12-31,40.86,$11.12,3.67
2015-09-30,36.9,$15.90,2.32
2015-06-30,38.76,$8.68,4.46
2015-03-31,31.64,$7.74,4.09
2014-12-31,27.04,$6.90,3.92
2014-09-30,23.05,$5.58,4.13
2014-06-30,21.43,$2.36,9.08
2014-03-31,19.85,$2.16,9.18
2013-12-31,22.19,$2.42,9.19
2013-09-30,17.04,$8.15,2.09
2013-06-30,14.42,$0.49,29.15
2013-03-31,13.37,$11.86,1.13
2012-12-31,12.19,$15.03,0.81
2012-09-30,11.59,$11.49,1.01
2012-06-30,12.08,$23.49,0.51
2012-03-31,13.85,$21.69,0.64
2011-12-31,12.09,$22.04,0.55
2011-09-30,11.2,$36.39,0.31
2011-06-30,12.5,$35.73,0.35
2011-03-31,12.62,$39.16,0.32
2010-12-31,14.15,$39.42,0.36
2010-09-30,12.39,$14.64,0.85
2010-06-30,11.95,$7.48,1.6
2010-03-31,11.63,$1.24,9.38
2009-12-31,12.76,$3.16,4.03
