Banc Of California Price to Free Cash Flow Ratio Historical Data,Banc Of California Price to Free Cash Flow Ratio Historical Data,Banc Of California Price to Free Cash Flow Ratio Historical Data,Banc Of California Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.09,,17.73
2024-09-30,14.64,$0.79,18.43
2024-06-30,12.62,$0.99,12.7
2024-03-31,14.9,$1.58,9.45
2023-12-31,13.06,$1.52,8.61
2023-09-30,11.96,$7.70,1.55
2023-06-30,11.1,$7.82,1.42
2023-03-31,11.91,$8.15,1.46
2022-12-31,15.04,$8.82,1.7
2022-09-30,15.02,$6.66,2.26
2022-06-30,16.51,$6.29,2.63
2022-03-31,18.08,$5.94,3.04
2021-12-31,18.26,$6.32,2.89
2021-09-30,17.16,$2.15,7.96
2021-06-30,16.22,$2.73,5.95
2021-03-31,16.66,$1.75,9.5
2020-12-31,13.52,$1.39,9.72
2020-09-30,9.26,$1.05,8.82
2020-06-30,9.86,$0.88,11.19
2020-03-31,7.24,$1.19,6.09
2019-12-31,15.48,$1.39,11.15
2019-09-30,12.69,$1.62,7.85
2019-06-30,12.49,$1.85,6.73
2019-03-31,12.32,$2.40,5.14
2018-12-31,11.74,$2.35,5.0
2018-09-30,16.52,$2.76,5.98
2018-06-30,16.97,$4.43,3.84
2018-03-31,16.65,$11.59,1.44
2017-12-31,17.7,$10.83,1.63
2017-09-30,17.67,$12.71,1.39
2017-06-30,18.19,$11.84,1.54
2017-03-31,17.41,$3.87,4.5
2016-12-31,14.5,$-0.56,0.0
2016-09-30,14.48,$-7.65,0.0
2016-06-30,14.92,$-6.69,0.0
2016-03-31,14.34,$-5.08,0.0
2015-12-31,11.89,$-2.01,0.0
2015-09-30,9.89,$-3.67,0.0
2015-06-30,10.98,$-5.13,0.0
2015-03-31,9.75,$-11.09,0.0
2014-12-31,8.99,$-22.62,0.0
2014-09-30,9.01,$-37.88,0.0
2014-06-30,8.36,$-38.15,0.0
2014-03-31,9.32,$-45.00,0.0
2013-12-31,10.09,$-32.08,0.0
2013-09-30,10.31,$-11.05,0.0
2013-06-30,10.04,$-15.61,0.0
2013-03-31,8.35,$-4.11,0.0
2012-12-31,8.89,$-3.23,0.0
2012-09-30,8.98,$-2.39,0.0
2012-06-30,8.43,$1.25,6.72
2012-03-31,8.39,$0.94,8.88
2011-12-31,7.13,$0.82,8.68
2011-09-30,7.81,$-0.14,0.0
2011-06-30,10.13,$1.95,5.19
2011-03-31,10.77,$2.73,3.94
2010-12-31,8.93,$4.08,2.19
2010-09-30,7.14,$1.97,3.62
2010-06-30,5.31,$2.52,2.11
2010-03-31,5.12,$2.66,1.92
2009-12-31,3.5,$1.61,2.17
