Coca-Cola Consolidated Price to Free Cash Flow Ratio Historical Data,Coca-Cola Consolidated Price to Free Cash Flow Ratio Historical Data,Coca-Cola Consolidated Price to Free Cash Flow Ratio Historical Data,Coca-Cola Consolidated Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1313.61,,26.15
2024-12-31,1259.99,$50.23,25.08
2024-09-30,1313.77,$46.53,28.24
2024-06-30,1082.35,$49.79,21.74
2024-03-31,843.84,$49.40,17.08
2023-12-31,907.75,$50.80,17.87
2023-09-30,621.68,$51.24,12.13
2023-06-30,620.91,$42.58,14.58
2023-03-31,521.91,$34.79,15.0
2022-12-31,496.3,$24.62,20.16
2022-09-30,398.61,$24.72,16.12
2022-06-30,545.66,$25.27,21.59
2022-03-31,480.52,$30.53,15.74
2021-12-31,598.58,$31.85,18.79
2021-09-30,380.81,$30.17,12.62
2021-06-30,388.26,$28.32,13.71
2021-03-31,278.6,$29.02,9.6
2020-12-31,256.63,$25.26,10.16
2020-09-30,231.74,$24.08,9.62
2020-06-30,220.43,$21.25,10.37
2020-03-31,200.34,$12.59,15.92
2019-12-31,272.65,$10.52,25.91
2019-09-30,291.41,$19.58,14.88
2019-06-30,286.73,$7.99,35.9
2019-03-31,275.58,$11.51,23.95
2018-12-31,169.63,$3.11,54.61
2018-09-30,174.06,$-3.37,0.0
2018-06-30,128.8,$0.61,210.22
2018-03-31,164.34,$-5.56,0.0
2017-12-31,204.63,$11.37,18.0
2017-09-30,204.87,$6.42,31.9
2017-06-30,217.1,$9.34,23.25
2017-03-31,195.19,$10.24,19.06
2016-12-31,169.2,$-0.82,0.0
2016-09-30,139.92,$-1.58,0.0
2016-06-30,139.03,$-4.15,0.0
2016-03-31,150.38,$-6.36,0.0
2015-12-31,171.54,$-4.66,0.0
2015-09-30,181.55,$-1.06,0.0
2015-06-30,141.6,$0.83,170.72
2015-03-31,105.73,$0.09,1228.03
2014-12-31,82.12,$0.81,101.96
2014-09-30,69.42,$-0.43,0.0
2014-06-30,68.29,$1.70,40.26
2014-03-31,78.53,$4.10,19.15
2013-12-31,67.39,$3.59,18.75
2013-09-30,57.38,$3.24,17.69
2013-06-30,55.86,$3.22,17.35
2013-03-31,54.88,$2.95,18.62
2012-12-31,60.27,$2.69,22.43
2012-09-30,61.49,$4.83,12.74
2012-06-30,57.82,$5.58,10.35
2012-03-31,56.21,$3.33,16.89
2011-12-31,52.25,$5.13,10.18
2011-09-30,49.28,$4.41,11.16
2011-06-30,59.89,$3.88,15.45
2011-03-31,58.95,$3.79,15.55
2010-12-31,48.79,$4.76,10.26
2010-09-30,46.25,$4.18,11.07
2010-06-30,41.67,$2.61,15.96
2010-03-31,50.78,$4.20,12.09
2009-12-31,46.53,$3.93,11.85
